Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.25750847235,0.0197820545502,1.61630941856e-31,3.28339868495e-27,0.0730337624195,0,0,0,0,0,0
2.0,677.279561414,12.7510149967,3.21963501457,2.65381832107e-06,2.80162967913e-07,0.933601990902,0,0,0,0,0,0
3.0,672.850539853,17.6871763386,14.8880234163,0.183426993232,0.00378780230513,2.01419564303,0,0,0,0,0,0
4.0,666.799448779,22.2716068814,31.0737171653,11.4510372622,0.156404572553,2.92308484532,0.392233404311,0,0,0.00851881924989,0,0
5.0,659.229146275,26.5963726148,48.0732289841,87.8571274772,1.05676916576,3.6565867388,28.97746488,0,0,0.629354315362,0,0
6.0,650.258100514,30.7137976834,64.3614452828,285.794458203,3.31629130911,4.26002788244,168.150031831,9.37430719547e-06,0,3.65200870743,0,0
7.0,640.017724436,34.657641754,79.4567364683,609.600781679,7.05942470966,4.77102611952,446.874280716,0.0432122144594,0,9.70648929959,0.000938515282893,0
8.0,628.648979335,38.4515105713,93.2783792581,1028.5156601,12.0480778586,5.21589477683,835.390895372,2.45124437233,1.34058705993e-06,18.1968840308,0.0532379928273,0
9.0,616.298735919,42.1128601752,105.887276553,1505.39250709,17.9317641056,5.61265934411,1276.77732799,23.5537372904,0.00121111309887,28.2416179318,0.511584035639,2.6303862616e-05
10.0,603.1161821,45.6551441015,117.387079712,2009.68088526,24.3835472792,5.97381944191,1703.0956035,96.5422918443,0.0738434632997,39.089093115,2.09838168871,0.00160378771854
11.0,589.249475023,49.089066925,127.887393278,2519.80797579,31.1431652095,6.30821807818,2060.42306735,248.824650748,1.08241486048,50.200991273,5.42766908119,0.023508697751
12.0,574.842772982,52.4233645355,137.490922281,3021.75220533,38.0183109001,6.62223987419,2320.10766504,484.89634779,6.9516036489,61.2231411872,10.6823226953,0.15098014175
13.0,560.033732335,55.6653148522,146.289847234,3506.94820837,44.8726718785,6.92057904066,2471.58995511,787.056105406,26.7466224965,71.9355255415,17.6747779966,0.580903207347
14.0,544.95151127,58.8210859217,154.365656385,3970.51561649,51.6123718608,7.20673984001,2513.03200279,1125.08346372,73.5281538904,82.209199473,26.0323460701,1.59693959231
15.0,529.715286139,61.8959812375,161.790148269,4409.97723819,58.1745035601,7.48336997078,2447.08538076,1466.73992575,160.496270406,91.9749501216,35.3415361353,3.48577837288
16.0,514.43325745,64.8946175439,168.626707786,4824.38963046,64.5183756676,7.7524878636,2280.07625865,1785.0040961,297.289629333,101.201982229,45.2248168493,6.45675913708
17.0,499.202101715,67.8210568216,174.931523065,5213.77083147,70.6191197799,8.01564120882,2021.80602326,2061.22917549,488.182547775,109.883850142,55.3700358647,10.6027147095
18.0,484.106811832,70.678906302,180.754639207,5578.72892186,76.4631075836,8.27401993063,1684.85873226,2285.25476387,732.164381988,118.029292837,65.5345720742,15.9016951713
19.0,469.220861676,73.471395628,186.140835088,5920.22241518,82.0446848108,8.5285383333,1283.47170682,2453.91211179,1024.11479914,125.656291398,75.5383969719,22.2424932938
20.0,454.606628951,76.2014373334,191.130341698,6239.40608962,87.3638407613,8.77989595139,832.330557485,2569.02559841,1356.31689324,132.788219061,85.2535322406,29.4575075251
21.0,440.316012906,78.8716749157,195.759428982,6537.53196392,92.424536838,9.0286233985,345.558936833,2635.53410858,1719.84417066,139.451345743,94.5933720021,37.3528655814
22.0,426.391188879,81.4845215293,200.060887461,6815.88588161,97.2334991844,9.2751174521,0,2659.99122627,2105.62575435,145.6732208,103.503243798,45.7315593524
23.0,412.865448862,84.042191482,204.064427062,7075.74716126,101.79933977,9.51966827979,0,2649.49100904,2505.16050708,151.481627774,111.952587616,54.4089547631
24.0,399.764085232,86.5467261355,207.7970112,7318.36325651,106.131911818,9.76248083397,0,2610.96744253,2910.92969098,156.903913953,119.928703368,63.2217542259
25.0,387.105282932,89.0000154024,211.2831402,7544.93423401,110.241834142,10.0036918525,0,2550.78366186,3316.58257141,161.966567224,127.431860379,72.0320277229
