Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.82832374546,0.0283813319649,4.403432723e-30,4.5989352677e-26,0.0874791115404,0,0,0,0,0,0
2.0,677.06653911,13.7539038167,3.99978150412,9.34559641064e-06,8.275987587e-07,1.04074633797,0,0,0,0,0,0
3.0,672.294749011,19.0783025675,17.6228206239,0.399438058999,0.00762030804822,2.19230151492,0,0,0,0,0,0
4.0,665.783456401,24.0233062991,35.893135575,20.3625683986,0.266292333271,3.14399345403,1.96158958391,0,0,0.0426032737756,0,0
5.0,657.650594162,28.6882221464,54.7066894852,140.017201169,1.64085124714,3.9053956856,62.5809340037,0,0,1.3591796604,0,0
6.0,648.031883152,33.129489636,72.5012568996,425.484053098,4.85817239404,4.52915323254,286.209187808,0.00156440477838,0,6.21613977461,3.39769162804e-05,0
7.0,637.077399395,37.3835236897,88.8400696545,866.517480728,9.9357830803,5.05650893637,683.150166376,0.729829710694,0,14.8530186664,0.0158509897277,0
8.0,624.947365302,41.4757866837,103.693353838,1413.86908177,16.4681937755,5.51564331092,1191.47990339,15.0782129428,0.000307804199246,26.2049474594,0.327486622473,6.68512245238e-06
9.0,611.807731947,45.4251076047,117.164017967,2017.64479181,23.9688271199,5.92559657953,1713.89173797,85.5400112412,0.0484485305239,39.0835127863,1.85887436067,0.00105224152231
10.0,597.825895522,49.245998132,129.38813272,2640.53636702,32.0220984446,6.29944508462,2161.87445299,256.863779934,1.07758078967,52.5787784119,5.60216392821,0.0234037077757
11.0,583.16678088,52.950004773,140.500174257,3258.15613987,40.3167148825,6.64636941069,2486.26899243,539.839943898,8.38717403569,66.087621333,11.9068077176,0.182158936088
12.0,567.989446737,56.5465505102,150.622192465,3855.84958709,48.6341868053,6.97295371356,2669.00374027,908.990718984,35.2715348917,79.2416744588,20.5081958264,0.766053648429
13.0,552.44430199,60.0434856833,159.861715899,4425.4979329,56.8271599642,7.28400808268,2706.88059221,1319.75565566,100.785756694,91.8313873149,30.8523837996,2.18894065319
14.0,536.670967561,63.4474634661,168.312659839,4963.13599402,64.799522338,7.58309983837,2604.3841289,1726.68075988,222.9299182,103.748833875,42.3431069146,4.84175916091
15.0,520.796773369,66.7642044809,176.057070003,5467.35433714,72.4910559757,7.87290526737,2372.13433688,2094.44776179,413.02071333,114.949167191,54.459080944,8.97029361764
16.0,504.935846065,69.9986885866,183.16690981,5938.27604432,79.8663761563,8.15544833882,2025.95978196,2401.31724507,673.862773078,125.425837136,66.7890660191,14.6354571028
17.0,489.188719943,73.1552972458,189.705634203,6376.91578567,86.9071876017,8.43226663535,1585.18528889,2637.8378331,1000.89117078,135.194993662,79.0286455531,21.7381051154
18.0,473.642390042,76.2379214044,195.729497563,6784.78284593,93.6069199292,8.70452930758,1070.55904227,2803.67031368,1384.57201698,144.285765812,90.9633881189,30.0711734937
19.0,458.370721404,79.2500447223,201.288616025,7163.63693403,99.9670148639,8.97312268244,502.421585047,2904.26745289,1812.83922491,152.734231375,102.449660658,39.3726019159
20.0,443.435129904,82.194808809,206.427825081,7515.33895342,105.99434565,9.23871358911,0,2948.16281349,2273.01297045,160.579689314,113.397411557,49.3670004519
21.0,428.885456301,85.0750650776,211.187374158,7841.76067715,111.699410907,9.50179702033,0,2945.04169478,2753.08144109,167.862368081,123.756111857,59.7934875486
22.0,414.760964259,87.893416481,215.60349407,8144.7309889,117.095060454,9.76273256918,0,2904.50740647,3242.4298947,174.622031389,133.50379451,70.4215242755
23.0,401.091403778,90.6522514862,219.708866143,8426.00486243,122.195589505,10.0217726776,0,2835.37683436,3732.16147775,180.897147058,142.638722716,81.0578820949
24.0,387.89809253,93.3537720113,223.533015221,8687.24650216,127.016090655,10.2790848111,0,2745.34222015,4215.14825394,186.724410564,151.173152484,91.5477511402
25.0,375.194978204,96.0000166138,227.102643449,8930.02130447,131.571988458,10.5347690563,0,2640.867723,4685.9218721,192.13849278,159.128711519,101.77236566
