Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.99141382349,0.0313130247776,1.08310512137e-29,9.43732139267e-26,0.0918862415192,0,0,0,0,0,0
2.0,677.005700793,14.0404434796,4.24321583188,1.31672984101e-05,1.11154069773e-06,1.0719976461,0,0,0,0,0,0
3.0,672.136124468,19.4757672043,18.4507677456,0.493727716093,0.00921816720407,2.24347397259,0,0,0,0,0,0
4.0,665.493756523,24.523791847,37.3297449247,23.8179787193,0.307816626053,3.20699255479,2.86077413103,0,0,0.0621324381584,0,0
5.0,657.201007074,29.2858934411,56.6651255486,158.962445881,1.84970623608,3.97604463134,75.9589976912,0,0,1.64973448117,0,0
6.0,647.398706591,33.8196873367,74.8884334422,474.177987617,5.39043338155,4.60536326463,328.686124527,0.00493465615192,0,7.13875894164,0.0001071745633,0
7.0,636.242434538,38.1623470999,91.5782073804,953.588842977,10.904762583,5.13720843076,763.923887946,1.39621017753,0,16.6217958913,0.0303239448945,0
8.0,623.898061299,42.3398655729,106.720538718,1541.82072224,17.9307536563,5.60027843182,1306.80722644,23.0558043305,0.00106316522876,28.8830088807,0.500766340922,2.3090619812e-05
9.0,610.537094503,46.3714640131,120.431040466,2185.10081032,25.9390888937,6.01389200062,1846.98229574,116.159826529,0.11338952769,42.6419183256,2.52530891123,0.00246267880452
10.0,596.332189249,50.2719564264,132.855444286,2844.24669563,34.4879041619,6.39128206976,2293.19940319,324.704350082,2.01050487405,56.9449284469,7.09583825609,0.0436656527332
11.0,581.453065574,54.0531298724,144.135573071,3494.21717707,43.2517272626,6.74171967765,2599.70646523,650.246208167,13.5583329358,71.1738497122,14.4170048771,0.29447004345
12.0,566.06299281,57.7246036458,154.399158429,4120.3348107,52.0054850905,7.0718414622,2751.45831263,1056.81519086,51.7718901626,84.9597816329,24.077125666,1.12442073947
13.0,550.315930775,61.294391635,163.758218672,4714.74433857,60.5996638189,7.38648709476,2747.46073216,1492.97646772,138.179475245,98.0991663908,35.4266681362,3.00108547797
14.0,534.354359002,64.7692856217,172.310292755,5273.85055324,68.9384433684,7.68923908972,2594.8482043,1911.15958037,290.707579565,110.492467061,47.8218023798,6.31380524368
15.0,518.307777845,68.1551254076,180.140405658,5796.63295991,76.963187281,7.98277959223,2307.53342859,2277.43305699,518.535684804,122.103634667,60.7249461109,11.2619469043
16.0,502.29182988,71.4569945989,187.323007327,6283.5833708,84.6407158951,8.2691322329,1904.72211133,2573.13573614,821.432382264,132.934444229,73.7257763215,17.8404845523
17.0,486.407966279,74.6793659384,193.923651928,6736.04990699,91.955187589,8.54983009158,1408.63784409,2792.21466141,1191.85721004,143.008562915,86.5290609581,25.8856487807
18.0,470.74356971,77.8262114337,200.000380734,7155.83644373,98.9025267724,8.82603501859,842.167752066,2937.30575987,1617.87193498,152.361752513,98.9327655601,35.1381560879
19.0,455.37244106,80.9010873207,205.604839208,7544.95996393,105.486599208,9.09862419275,227.003223781,3016.14029329,2085.72900404,161.035876874,110.806223801,45.2994268065
20.0,440.355559873,83.9072006592,210.783175849,7905.50487305,111.716573818,9.36825412584,0,3038.82637782,2581.73863715,169.075256211,122.071646419,56.0721360257
21.0,425.742035797,86.8474622667,215.576768814,8239.53674006,117.605089662,9.63540882005,0,3016.03007834,3093.41572259,176.524468304,132.689525989,67.1851227251
22.0,411.570178717,89.7245293244,220.022819011,8549.05246835,123.16697219,9.90043657384,0,2957.8837887,3610.05962908,183.427043664,142.647521105,78.4059825691
23.0,397.868626988,92.5408400588,224.154840295,8835.95281264,128.418327516,10.1635785085,0,2873.41483782,4122.94345787,189.824714651,151.952156734,89.5451782255
24.0,384.657485182,95.2986422616,228.003070211,9102.02859818,133.37589978,10.4249909535,0,2770.31593843,4625.2617326,195.757008819,160.622702543,100.454903255
25.0,371.949434088,98.0000169599,231.594818924,9348.95531809,138.05661386,10.6847632044,0,2654.92364925,5111.94588202,201.261056387,168.686697632,111.025074625
