Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,5.62660769205,0.00587850830871,2.41773698565e-36,4.59780830821e-31,0.0398126920846,0,0,0,0,0,0
2.0,677.888953467,9.88561836826,1.5519901051,3.8507369831e-08,7.34141790041e-09,0.647899476074,0,0,0,0,0,0
3.0,674.443716234,13.7125299704,8.44055323677,0.0133930895976,0.000361041928943,1.51479908302,0,0,0,0,0,0
4.0,669.719902497,17.2667514024,19.1210617242,1.65228819808,0.0261245241798,2.28797793705,1.18194573266e-05,0,0,0,0,0
5.0,663.78254889,20.6196596677,31.0949020351,18.3218214369,0.24059586642,2.93071855826,0.655594315672,0,0,0.0142386890435,0,0
6.0,656.706508387,23.8118206759,43.066474198,74.9282460906,0.918052014697,3.46757954161,17.762390343,0,0,0.385776915262,0,0
7.0,648.575426159,26.869407652,54.5028148005,186.709633057,2.23554859915,3.9252891546,85.0750790806,0,0,1.84772437379,0,0
8.0,639.480155262,29.8107216789,65.219943176,352.490187311,4.20901783839,4.32433275587,215.076295381,4.2060092197e-05,0,4.6711892038,0,0
9.0,629.51692221,32.6492960909,75.1822151131,561.727453954,6.75213717108,4.6794659054,399.755775026,0.0144198819799,0,8.68250892065,0.000313181811754,0
10.0,618.785408888,35.3955611573,84.4142656506,801.601259665,9.74157222448,5.00127026777,624.312682743,0.444040757715,0,13.5689350888,0.00964401036043,0
11.0,607.38686159,38.0578159306,92.9630015346,1060.56866979,13.0546146813,5.29742485938,872.19214938,3.98345408941,6.54062813118e-06,19.029439172,0.0865157855587,0
12.0,595.422307374,40.6428331792,100.881315636,1329.46249632,16.5847708825,5.57359298892,1124.9973377,17.8180864709,0.00063060016356,24.8205498855,0.387000261387,1.36958473023e-05
13.0,582.990935761,43.1562553349,108.221296525,1601.46535183,20.2455835427,5.83401979368,1364.06382145,52.1851632605,0.0156837048646,30.7598388976,1.13373714503,0.000340630465027
14.0,570.188685313,45.6028643663,115.031622712,1871.7086346,23.9693918414,6.08193478246,1573.99025491,116.209541498,0.164728964287,36.7161822427,2.52750368661,0.00357770719311
15.0,557.107058396,47.9867719706,121.356792902,2136.82075961,27.7044210682,6.31982639127,1744.72600239,214.6716245,0.973244429438,42.5979425138,4.68353699706,0.0211376524518
16.0,543.832173385,50.3115574217,127.23713686,2394.53709061,31.4116825208,6.54963244251,1871.16627289,346.970209018,3.85652991071,48.3426697343,7.61951823611,0.0837590089983
17.0,530.444051813,52.5803698954,132.709129564,2643.39530489,35.0622317678,6.77287470818,1951.47560842,507.721159799,11.4736860518,53.9090680476,11.2762630583,0.249194118937
18.0,517.016128625,54.7960060094,137.805794904,2882.50834254,38.6349228291,6.99075573737,1985.5327476,688.231848333,27.6305490703,59.2710267932,15.5476364436,0.60010098762
19.0,503.61496675,56.9609696442,142.557106992,3111.39900641,42.1146342897,7.20422977141,1974.08669843,878.269071119,56.7178673229,64.4132842318,20.3067475693,1.23184118092
20.0,490.300152598,59.0775188315,146.990353451,3329.8807313,45.4908921184,7.41405555721,1918.53279229,1067.68042217,102.940754145,69.3283072595,25.424428673,2.23574450409
21.0,477.124346458,61.1477030245,151.130450686,3537.97193961,48.7568078241,7.62083630101,1820.97910602,1247.59342849,169.634344848,74.0140515882,30.7804157022,3.68424592718
22.0,464.133460974,63.1733930957,155.000212264,3735.83449183,51.9082604993,7.82505033757,1684.33278113,1411.10109378,258.840791562,78.4723513543,36.2690503224,5.62169844173
23.0,451.366941382,65.1563057557,158.620575781,3923.72932855,54.9432650993,8.02707499218,1512.27988801,1553.48644185,371.180300351,82.7077567732,41.8013558073,8.06157214825
24.0,438.85812277,67.0980236332,162.01079471,4101.98437423,57.8614823079,8.2272053778,1309.14524873,1672.11158119,505.95727665,86.7266909794,47.3049330063,10.9887596022
25.0,426.634641924,69.0000119411,165.188601464,4270.97121217,60.6638361334,8.42566937157,1079.67351997,1766.10875866,661.410101861,90.5368351637,52.7226752519,14.3650006498
