Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,5.8712428091,0.00720090111255,1.54956736123e-35,2.02738063153e-30,0.0440637444954,0,0,0,0,0,0
2.0,677.797473099,10.3154278625,1.75345020674,7.81550809926e-08,1.34977601945e-08,0.688714424988,0,0,0,0,0,0
3.0,674.204247064,14.3087269256,9.2812560923,0.0207472101311,0.000534898844609,1.58872990064,0,0,0,0,0,0
4.0,669.280161951,18.0174797243,20.740028215,2.28402942956,0.0352393482379,2.38365352234,0.000158037956265,0,0,3.43238686263e-06,0,0
5.0,663.09542034,21.5161666098,33.4484149178,23.8144769482,0.308162434476,3.04118044932,1.50063710789,0,0,0.032591962187,0,0
6.0,655.730859653,24.847117227,46.0654451477,93.7346150042,1.13806213779,3.58894876088,27.797039477,0,0,0.603716951141,0,0
7.0,647.276731529,28.0376427673,58.0584662862,227.579556255,2.70971201952,4.05536748829,116.260682453,0,0,2.52503669803,0,0
8.0,637.830892851,31.1068400128,69.254746699,421.653574968,5.01874272107,4.46184450126,275.450941826,0.000557180036619,0,5.98246224403,1.21012539203e-05,0
9.0,627.49674128,34.0688307035,79.6307091284,662.465144392,7.95094868595,4.82366331927,493.149385529,0.0791036751846,0,10.7123062499,0.00171803294608,0
10.0,616.381077238,36.934498599,89.2214144429,934.889009021,11.3583370839,5.15172101598,750.864385629,1.4935211843,0,16.3402733021,0.0324374199564,0
11.0,604.592014456,39.7125035798,98.0822859854,1225.86904892,15.0996956495,5.4538918229,1027.31515978,9.9500471246,0.000105072836787,22.5281082765,0.216104868038,2.28205067397e-06
12.0,592.237027194,42.4099128826,106.273103027,1525.35105719,19.055766054,5.73596292795,1299.1241277,36.6553610295,0.00529457926349,29.0116907541,0.796223614003,0.000114991643379
13.0,579.421196953,45.0326142625,113.851560542,1826.05519978,23.1317615888,6.0022590848,1544.99732572,93.8948975987,0.0845517684167,35.5983631926,2.04111616594,0.0018363587203
14.0,566.245700141,47.5855975996,120.870962122,2122.91711943,27.2548586188,6.25606084829,1749.85065419,189.712615026,0.647651874103,42.1530221315,4.13438704673,0.0140661891407
15.0,552.806559504,50.0731533607,127.379679157,2412.52891978,31.3702952438,6.49988861879,1905.4443186,325.438284996,3.03149480037,48.5836621023,7.13395302995,0.0658402776956
16.0,539.193666121,52.49901644,133.421330543,2692.68081684,35.4375603394,6.73569906844,2008.45079368,495.938771611,10.066316099,54.8294664766,10.9897979987,0.218627802775
17.0,525.490065606,54.8664729344,139.03521981,2962.01452009,39.4271610784,6.96502359597,2058.20275354,691.398095075,26.1046231626,60.8518129995,15.5832621617,0.566959784312
18.0,511.771491916,57.1784410533,144.256828506,3219.77093942,43.3180439905,7.18906777912,2055.33759733,899.660986456,56.376749523,66.6277405491,20.7639445783,1.2244325287
19.0,498.106124863,59.4375335417,149.118283463,3465.60989264,47.0955962277,7.40878411596,2001.36813643,1108.44168575,105.993786739,72.145287187,26.3760204182,2.30205255574
20.0,484.554542783,61.6461066068,153.648769313,3699.4822782,50.7501165389,7.62492614477,1898.72156115,1306.96520044,179.031411573,77.4001862935,32.2739889171,3.8883384701
21.0,471.169839563,63.8062988082,157.874881205,3921.53962561,54.2756504888,7.83808935623,1750.83799969,1486.89586354,277.962471057,82.3935271786,38.3305169544,6.03699741826
22.0,457.997874891,65.9200623608,161.820922294,4132.07000525,57.6691023526,8.0487425813,1562.13511507,1642.62976766,403.490236452,87.1300944427,44.4391688394,8.76330357294
23.0,445.077627811,67.9891886146,165.509153816,4331.45247025,60.929555349,8.25725240207,1337.81636802,1771.13511206,554.696842818,91.6171840679,50.5141627699,12.0473220549
24.0,432.44162592,70.0153290085,168.960005904,4520.12454419,64.0577484898,8.46390237466,1083.58089873,1871.53694765,729.376446901,95.8637551381,56.4885877878,15.8411447061
25.0,420.116425563,72.0000124603,172.192256517,4698.55892999,67.055671492,8.66890833977,805.307130105,1944.60432926,924.435788207,99.8798190584,62.3119650513,20.0775897751
