Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.58368862842,0.0243947893349,1.10136733069e-30,1.52040129088e-26,0.0811029241445,0,0,0,0,0,0
2.0,677.157817581,13.3240943224,3.65195014701,5.51247203633e-06,5.25489378253e-07,0.99439722813,0,0,0,0,0,0
3.0,672.532829794,18.4821056122,16.4198248668,0.288221054877,0.00568424096515,2.11577727825,0,0,0,0,0,0
4.0,666.218492186,23.2725779772,33.7878124598,15.9959469994,0.213034936877,3.04939812602,1.04656421956,0,0,0.0227300666435,0,0
5.0,658.326163034,27.7917152043,51.8213873286,115.162870656,1.36440666761,3.79906210652,45.864516459,0,0,0.996119966844,0,0
6.0,648.984047988,32.0941930849,68.9713480192,360.094633591,4.13946712416,4.41427900478,230.110471811,0.000220248089341,0,4.99771659315,4.78351319038e-06,0
7.0,638.334108957,36.2152885744,84.7800308027,747.719982845,8.60925860556,4.93475041872,573.33666188,0.244387890925,0,12.4574634248,0.00530779952958,0
8.0,626.528214928,40.1796683498,99.1949426043,1237.27448904,14.4456874165,5.38786718615,1029.59574392,7.41939315056,3.77472708462e-05,22.5226741479,0.161140764812,0
9.0,613.724067056,44.005572992,112.300512333,1784.50001487,21.2231411678,5.79224235209,1520.35248201,51.5214942958,0.0115799644099,34.1396409276,1.11923395659,0.000251502352029
10.0,600.081217374,47.7070606903,124.218645226,2354.96147924,28.5647629989,6.16071063379,1964.14520202,174.516746899,0.379176276357,46.4655346727,3.79852083147,0.00823523475213
11.0,585.757398643,51.2953171239,135.072993749,2925.38752741,36.1809504341,6.50231200328,2308.14814108,397.319010948,3.76546679853,58.9229271723,8.71105350105,0.0817812320306
12.0,570.905311962,54.7794708067,144.977211138,3481.29614917,43.8639013276,6.82354817135,2529.62495758,708.928378096,18.647413397,71.1473272786,15.8020367215,0.404998509715
13.0,555.66996023,58.1671267557,154.032176245,4014.29039677,51.4703749346,7.12918195664,2622.29496761,1076.15755563,59.787390251,82.9227805031,24.6713042934,1.29850738201
14.0,540.186565735,61.4647302328,162.326427919,4519.94268166,58.9046271269,7.42275556953,2587.51074709,1458.80222642,143.883753791,94.1308104488,34.8083361328,3.12497527765
15.0,524.579069123,64.6778230909,169.937584304,4996.33118009,66.1047653559,7.70693461235,2431.8144891,1821.35408613,284.119097385,104.714928286,45.7282457045,6.17071164633
16.0,508.959175303,67.8112295683,176.933907198,5443.07975205,73.0326845258,7.98374198556,2166.44648647,2138.65097022,487.043167635,114.657272982,57.0267945565,10.5779687971
17.0,493.425889521,70.8691942069,183.375720547,5860.74366052,79.6668970144,8.25472070195,1806.43658821,2396.65304034,752.293628962,123.963607378,68.3911854739,16.338877254
18.0,478.065473219,73.8554863605,189.31660785,6250.42121423,85.997494056,8.52104974499,1369.08812204,2590.59363916,1074.0591797,132.653783869,79.5916784096,23.3272228091
19.0,462.951743282,76.7734808247,194.80439379,6613.50972639,92.0226149177,8.78362822018,872.34405543,2722.28796913,1443.10324926,140.755711673,90.4670905244,31.3423986949
20.0,448.146638241,79.6262210338,199.881941185,6951.55279776,97.7459649388,9.04313763941,333.4315642,2797.59075297,1848.62516792,148.301546683,100.910002032,40.1498278658
21.0,433.700979527,82.4164692939,204.587798562,7266.14524027,103.175059835,9.30008882022,0,2824.39503389,2279.66667512,155.325289995,110.853840243,49.5115106002
22.0,419.655363285,85.146747216,208.95673008,7558.87441682,108.31997413,9.55485775469,0,2811.2305365,2726.0295496,161.861281393,120.262367495,59.2059542804
23.0,406.04112739,87.8193686272,213.020153866,7831.28465167,113.192441923,9.8077134293,0,2766.37535219,3178.78433022,167.943263932,129.121436852,69.0392221719
24.0,392.881347992,90.436466636,216.80650918,8084.85630553,117.805206288,10.0588396733,0,2697.35449754,3630.48042444,173.603814906,137.432664712,78.8494967183
25.0,380.191829462,93.0000160946,220.341568086,8320.99420111,122.171546095,10.3083525077,0,2610.70619138,4075.15933898,178.874013157,145.208641988,88.5073668936
