Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,8.07295886251,0.0328658988016,1.68705339383e-29,1.34450757018e-25,0.0941370823199,0,0,0,0,0,0
2.0,676.975285832,14.183713311,4.36845896325,1.55885090153e-05,1.28528715763e-06,1.08772761946,0,0,0,0,0,0
3.0,672.05684097,19.6744995227,18.8725587779,0.548028439875,0.0101239279474,2.26910620501,2.32966997232e-06,0,0,0,0,0
4.0,665.349003654,24.7740346209,38.0579374165,25.7288504337,0.330580837469,3.23847315654,3.41747852396,0,0,0.0742233616923,0,0
5.0,656.9764507,29.5847290884,57.6547315224,169.21123537,1.96210135905,4.01129875725,83.383395175,0,0,1.81098311416,0,0
6.0,647.082596928,34.1647861871,76.0920746702,500.161046089,5.67352911532,4.64335925336,351.551689335,0.00840686432582,0,7.63544583932,0.000182586584577,0
7.0,635.825801266,38.551758805,92.9565690492,999.618108405,11.4159853939,5.17742006557,806.651918391,1.89033066482,0,17.5605269973,0.0410556319574,0
8.0,623.374781162,42.7719050176,108.242450971,1609.00457062,18.6978259842,5.64243581634,1366.5905078,28.1469393842,0.00189401379223,30.2920362024,0.611357475363,4.113561205e-05
9.0,609.903838744,46.8446422173,122.0717986,2272.57687824,26.9677590663,6.05786263868,1914.51077401,134.205185352,0.168737307641,44.5028792692,2.91843363277,0.00366476340032
10.0,595.58826656,50.7849355736,134.595237573,2950.23257535,35.7706753305,6.43701043605,2358.42548101,362.774186385,2.69343168018,59.2180512149,7.93749982985,0.0584979693038
11.0,580.60018151,54.6046924222,145.958302247,3616.63408517,44.7741244239,6.78919450619,2654.48377941,710.092110032,16.9930061233,73.8125163024,15.7913798665,0.369066851741
12.0,565.104949098,58.3136302136,156.291589425,4257.12207675,53.7499236201,7.12107699823,2789.12385901,1134.81883375,62.0347432144,87.9177645168,25.9941636246,1.34731707919
13.0,549.258288012,61.9198446109,165.709378629,4863.99758751,62.5476675382,7.43751180652,2762.55257772,1582.40597014,160.384624429,101.333775585,37.8512332259,3.48335356181
14.0,533.204084471,65.4301966995,174.311031927,5433.86951533,71.0718521278,7.74208858815,2583.42714528,2004.67819813,329.616439365,113.965627012,50.6979616581,7.15885704247
15.0,517.072897081,68.8505858709,182.183071725,5965.92634341,79.2647770175,8.03749204616,2267.46785523,2368.75546642,577.588748568,125.781986533,63.9909134192,12.544505633
16.0,500.981096819,72.186147605,189.401196442,6460.85515582,87.0944862595,8.32574533355,1835.63515824,2657.71279837,902.42599378,136.789030037,77.321764392,19.5995645524
17.0,485.030562808,75.4414002847,196.032013037,6920.17898729,94.5464650427,8.60837902023,1311.58470029,2867.25943023,1295.08122904,147.014361846,90.4008361935,28.1275454433
18.0,469.308841585,78.6203564483,202.134457759,7345.85517029,101.617967356,8.88655108861,719.207257856,3001.49930903,1742.45982084,156.497194217,103.032862352,37.8440492338
19.0,453.889673765,81.7266086199,207.760940916,7740.03397892,108.31413849,9.16113396006,80.786620785,3069.24468862,2230.04644849,165.282385107,115.093979384,48.4338213031
20.0,438.833795183,84.7633965843,212.958266583,8104.91509664,114.645350685,9.43277883404,0,3081.3223174,2743.7226097,173.416841765,126.51269451,59.5902254294
21.0,424.189927664,87.7336608613,217.768375456,8442.66366809,120.625358836,9.70196409007,0,3048.82469552,3270.83383555,180.947374489,137.255083722,71.0384223658
22.0,409.99588555,90.6400857461,222.228950954,8755.36263849,126.270013697,9.96903227527,0,2982.09583786,3800.69032002,187.919440938,147.313636866,82.5462428878
23.0,396.279736448,93.4851343451,226.373920122,9044.98718954,131.596357609,10.2342187676,0,2890.22776829,4324.6901107,194.37643869,156.698997684,93.9268633418
24.0,383.060967109,96.2710773867,230.23387338,9313.3926098,136.621985676,10.4976742647,0,2780.88425063,4836.21684446,200.359335934,165.433914409,105.036584591
25.0,370.351617046,99.000017133,233.83642116,9562.31029468,141.364593479,10.75948262,0,2660.31822008,5330.42001682,205.906510661,173.548846083,115.77005974
