Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,6.84978327728,0.0150160579034,1.29550929941e-32,4.37413335473e-28,0.0636305890979,0,0,0,0,0,0
2.0,677.431804247,12.0346658396,2.72792403679,1.01463798586e-06,1.22503798283e-07,0.859262341134,0,0,0,0,0,0
3.0,673.248110373,16.6935147465,13.0882566685,0.101231956278,0.00222086955938,1.8879729308,0,0,0,0,0,0
4.0,667.527108956,21.0203930117,27.8315161966,7.37735544771,0.104167301946,2.76488079955,0.0842082463264,0,0,0.0018288978499,0,0
5.0,660.361465236,25.1021943781,43.5496475793,61.5417402923,0.755129815154,3.47731388252,14.8831204831,0,0,0.323242772991,0,0
6.0,651.857939256,28.9883034315,58.758233679,210.877334112,2.47734977205,4.06537226105,108.596499725,0,0,2.35858022963,0,0
7.0,642.135205793,32.7105832285,72.9520278427,465.979090721,5.437224777,4.56402355123,317.878571471,0.00278565830073,0,6.90398572514,6.0501016219e-05,0
8.0,631.320981125,36.2913133482,86.0184378918,806.541242189,9.48903413101,4.99819386989,627.781974974,0.438448420582,0,13.6441623209,0.00952255177967,0
9.0,619.548894467,39.7469691541,97.9908287634,1203.54843063,14.3658635696,5.38514442747,1001.18695,7.10936361061,3.48723941486e-05,21.8989370759,0.154407248303,0
10.0,606.955358268,43.0902483655,108.951107748,1631.27079258,19.7996115555,5.73693439393,1389.32513895,39.4367814877,0.0057811308069,31.0311740773,0.85664315687,0.000125558934712
11.0,593.676610952,46.3312541764,118.991974235,2070.50575941,25.566626974,6.0621447005,1743.85097426,123.222145804,0.157798734472,40.557348709,2.67965817044,0.00342719126432
12.0,579.846053647,49.4782316964,128.202872805,2508.11871242,31.495407805,6.36700159792,2031.32095033,274.370038819,1.53063645375,50.1432131915,5.99221779108,0.0332435104799
13.0,565.591960773,52.5380499729,136.665401748,2935.62335658,37.4602195807,6.65610417438,2235.33600949,491.75611897,7.85172068902,59.5700912825,10.8508577676,0.170529558715
14.0,551.035608592,55.5165305329,144.452442619,3347.81572089,43.3714569301,6.93290175572,2350.27741901,759.75286727,26.5971138704,68.7012824139,17.0785386529,0.577656066874
15.0,536.289835364,58.4186789208,151.628668799,3741.71829452,49.1667135281,7.20001351251,2375.64286114,1054.87845645,67.8970412379,77.4559125951,24.3852803404,1.47463886439
16.0,521.458022058,61.2488525133,158.251476452,4115.83059945,54.8036120107,7.45944716135,2313.73582922,1352.55284064,141.885014849,85.7903373809,32.4573221739,3.08156516624
17.0,506.633463721,64.0108850901,164.371958551,4469.61759558,60.2543817773,7.71275191306,2169.3326558,1631.85130211,256.194871574,93.6854288198,41.0060028347,5.564232367
18.0,491.899088666,66.7081812289,170.035785131,4803.1667444,65.5018668367,7.96112769108,1949.67925898,1877.76695293,414.634558341,101.138036043,49.788095323,9.00534431398
19.0,477.327474941,69.343789132,175.283953533,5116.95991571,70.5366173809,8.2055046658,1664.13403066,2081.50114572,617.088311853,108.155287533,58.6099897818,13.402386773
20.0,462.981110472,71.9204577079,180.153412053,5411.72204793,75.3547746435,8.44660223596,1323.46144956,2239.60146032,860.213431258,114.750793494,67.3241046765,18.6827604601
21.0,448.912843782,74.4406819429,184.677573955,5688.32072624,79.9565277677,8.68497350728,939.002501293,2352.64142911,1138.45683644,120.942110446,75.822290455,24.7258594164
22.0,435.166475426,76.9067394209,188.886741441,5947.69950008,84.3449813315,8.92103935281,521.920254518,2423.88294822,1445.0620063,126.749044208,84.0286482311,31.3849404494
23.0,421.777445312,79.3207200504,192.80845756,6190.83361362,88.5253182726,9.15511486112,82.6248771818,2458.13967749,1772.89856938,132.192511779,91.8928619242,38.5051408036
24.0,408.773577096,81.6845505099,196.467801155,6418.70069574,92.504176574,9.38743013349,0,2460.91232145,2115.06247157,137.293778023,99.384452536,45.9365130545
25.0,396.175847303,84.0000145371,199.887636933,6632.26149549,96.2891819492,9.61814682301,0,2437.78654074,2465.25940007,142.07394555,106.488029027,53.5423525954
