Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,5.21888249697,0.00410692707722,9.06568838259e-38,3.33896551133e-32,0.033277176687,0,0,0,0,0,0
2.0,678.041476934,9.16926921114,1.25081440088,1.10197129014e-08,2.50204892522e-09,0.581581708523,0,0,0,0,0,0
3.0,674.843219074,12.7188683783,7.13617701872,0.00617861059863,0.00018022029302,1.39243136152,0,0,0,0,0,0
4.0,670.45412218,16.0155375327,16.5612317784,0.932223031267,0.0153918215711,2.12815971607,0,0,0,0,0,0
5.0,664.931020383,19.1254814309,27.3301217269,11.5257668925,0.155336684719,2.74520587175,0.11142643965,0,0,0.00242004298616,0,0
6.0,658.339248183,22.086326424,38.2306605054,50.4331798082,0.627964263692,3.26304798413,7.21286580854,0,0,0.156654429279,0,0
7.0,650.75190709,24.9223491265,48.7352193834,131.578643353,1.59109808709,3.70557980733,46.5196037662,0,0,1.0103476443,0,0
8.0,642.248619949,27.6505244558,58.6445951806,256.791278773,3.08376259637,4.09170994525,134.920185252,0,0,2.93029777655,0,0
9.0,632.914047785,30.2834050698,67.9051026163,419.625428895,5.05759252377,4.43528233295,270.774103233,0.000359890596818,0,5.88088287097,7.81637389965e-06,0
10.0,622.836312013,32.8306654213,76.5252484185,610.711520732,7.42524241697,4.74632906792,444.205627579,0.0330664755578,0,9.6483091365,0.000718162516061,0
11.0,612.105415418,35.300003182,84.5385323094,820.913463182,10.0923388824,5.03218587231,643.724764924,0.573256389989,0,13.9933476511,0.0124504125681,0
12.0,600.811729521,37.6977003401,91.9868934333,1042.56915435,12.9727690296,5.29829588474,857.469945896,3.92660663459,6.48887929716e-06,18.7084566571,0.0852811287754,0
13.0,589.04459834,40.0289904555,98.9134434686,1269.71877834,15.9939554901,5.54876082008,1072.63241946,15.3902007848,0.000427404439939,23.6305098488,0.334265205985,9.28269017991e-06
14.0,576.891094081,42.2983089774,105.359422142,1497.92440265,19.0972881346,5.78671649775,1276.31268065,42.226648101,0.00895362115597,28.6374149692,0.917304474903,0.000194461459481
15.0,564.434947718,44.5094696539,111.363079043,1723.97720466,22.2366140337,6.01459100345,1457.5605923,91.1743847236,0.0878263714126,33.6404027402,1.98210114722,0.00190747900412
16.0,551.755666342,46.6657923911,116.959422093,1945.61328104,25.3761867637,6.23428481286,1608.76784419,166.385907628,0.510546439006,38.5762974081,3.62478236176,0.0110884304722
17.0,538.927839638,48.7701981639,122.18033793,2161.27675573,28.4886732586,6.4472986037,1725.68774093,268.546954514,2.04378564988,43.4010617307,5.87689263793,0.0443884695834
18.0,526.020630039,50.8252809363,127.054853063,2369.93509472,31.5534301286,6.6548255261,1806.55021222,394.979555735,6.22298158125,48.0847854103,8.71361760733,0.135155381218
19.0,513.097434988,52.8333631482,131.609429783,2570.93979291,34.5550907849,6.85781894709,1851.02937622,540.353432862,15.4262537193,52.6079232807,12.0708400679,0.335038947966
20.0,500.215705342,54.796539206,135.868250633,2763.92298614,37.4824375856,7.05704299597,1859.53135054,697.700395208,32.6593006225,56.9585153488,15.8624996438,0.709319185395
21.0,487.426901114,56.7167100517,139.853473789,2948.72126948,40.3275127371,7.25311085485,1832.89045,859.481466501,61.1267278604,61.130144803,19.9944592213,1.32759612072
22.0,474.776564284,58.5956109874,143.585455016,3125.31966145,43.0849206877,7.44651418106,1772.34234121,1018.50994296,103.749432153,65.1204390058,24.3740708032,2.25330797957
23.0,462.304488119,60.4348343241,147.082937737,3293.81032626,45.7512807796,7.63764601644,1679.59967601,1168.61308512,162.770540775,68.9299662707,28.9159881249,3.53517268245
24.0,450.04496307,62.2358480076,150.363215,3454.36206542,48.3247966122,7.82681884498,1556.90753092,1305.00145745,239.524248499,72.5614203854,33.5451676761,5.20216727209
25.0,438.027080598,64.0000110758,153.442267689,3607.19767118,50.8049157599,8.01427898757,1407.02652544,1424.38026662,334.374639731,76.0190146783,38.1979581223,7.26219920665
