Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.74677870645,0.0269992649039,2.78796444075e-30,3.19237554624e-26,0.0853225736319,0,0,0,0,0,0
2.0,677.096962468,13.6106339853,3.8815490492,7.85224014712e-06,7.12462204472e-07,1.02522583055,0,0,0,0,0,0
3.0,672.37409007,18.8795702491,17.2166429902,0.358680161884,0.00691810792555,2.1667618748,0,0,0,0,0,0
4.0,665.928403492,23.7730635251,35.1847388917,18.8044732715,0.2473987166,3.11247469993,1.60514479193,0,0,0.0348617384498,0,0
5.0,657.875625195,28.389386499,53.7379140505,131.277756123,1.54398558548,3.86999975489,56.5831836081,0,0,1.22891601899,0,0
6.0,648.34895097,32.7843907856,71.3177998857,402.701834189,4.60831464969,4.49093733837,266.527973784,0.000841768224715,0,5.78867271278,1.82821536305e-05,0
7.0,637.495733176,36.9941119846,87.4803867417,825.386867143,9.47712342974,5.01601861105,645.059145259,0.515571438359,0,14.0210758788,0.011197567416,0
8.0,625.473393734,41.0437472391,102.188182676,1353.00641783,15.7716833482,5.47316260228,1136.00843392,12.0259393754,0.000158194027589,24.9338784165,0.261191806586,3.43577653671e-06
9.0,612.445122166,44.9519294005,115.537858534,1937.57097166,23.026165894,5.88126840741,1648.48862312,72.7299802621,0.0307362013901,37.3840516459,1.58027181069,0.000667551873941
10.0,598.575693764,48.7330189848,127.660719131,2542.72327186,30.8379984791,6.25333273386,2095.96836497,226.922521481,0.772551739043,50.4838441563,4.9452523715,0.0167788580823
11.0,584.027635636,52.3984422233,138.687606143,3144.43067548,38.9030711255,6.59848995919,2427.84381731,489.274516204,6.4953984369,63.6383076756,10.7675028336,0.141071934801
12.0,568.957892576,55.9575239424,148.737753495,3728.07839706,47.0063549151,6.92329725879,2624.49886697,839.342266218,28.7694134944,76.4799710101,18.8543005438,0.624835699332
13.0,553.51508187,59.4180327074,157.91646163,4285.43969975,55.0017546909,7.23254935548,2681.69535185,1236.25361799,85.2686812663,88.796812531,28.7018124369,1.85192917125
14.0,537.837372826,62.7865523884,166.315845625,4812.38313117,62.7931766109,7.52980551202,2602.77328572,1636.04412591,193.733690488,100.477122839,39.7404869499,4.20765359028
15.0,522.050983332,66.0687440175,174.016469674,5307.31909853,70.3197534714,7.81773870928,2396.87680347,2003.07592888,366.284798779,111.471969353,51.4595533038,7.95524797348
16.0,506.269252503,69.2695355805,181.089059423,5770.19714122,77.5451167387,8.09837277276,2078.23228999,2314.2961861,607.094053668,121.770875796,63.4489442699,13.1853239781
17.0,490.592225527,72.3932628995,187.596023642,6201.87337205,84.449842744,8.37324727379,1664.71625581,2558.64283615,913.043598429,131.386411585,75.4006897511,19.8301656534
18.0,475.10667336,75.4437763898,193.592725035,6603.71595807,91.0261949647,8.64353479154,1175.95335988,2734.28654243,1275.83311488,140.344523806,87.0947863071,27.7095004637
19.0,459.886464466,78.4245234231,199.128515473,6977.36065971,97.2744701084,8.91012604011,631.530969758,2845.49138884,1684.30318647,148.678499013,98.3814759326,36.5809598311
20.0,444.993206793,81.3386128839,204.247573209,7324.56019982,103.200448837,9.1736928504,49.666678421,2899.93799483,2126.35341334,156.425202889,109.164766521,46.181738196
21.0,430.477083769,84.188866483,208.989581655,7647.09217811,108.813605136,9.43473557986,0,2906.75683142,2590.27715448,163.622748078,119.388706881,56.257581949
22.0,416.377816643,86.9778600593,213.390284199,7946.70354771,114.125838604,9.69361936181,0,2875.23154179,3065.5590239,170.309059666,129.026545099,66.5801100503
23.0,402.725695655,89.7079571999,217.481942949,8225.07797424,119.150569967,9.95060221275,0,2814.03048095,3543.26018912,176.521007136,138.072406741,76.9551822324
24.0,389.542633121,92.3813368862,221.293723041,8483.81754817,123.902091494,10.2058570995,0,2730.81373731,4016.12222538,182.29389546,146.53501544,87.2251545826
25.0,376.843201755,95.0000164407,224.852018951,8724.43351198,128.395098405,10.4594894551,0,2632.08706107,4478.49750327,187.66118481,154.433008507,97.2673676491
