Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,6.4420580822,0.0112070546342,8.89346817391e-34,5.14896827421e-29,0.0549710106242,0,0,0,0,0,0
2.0,677.584117169,11.3183166825,2.28785209127,3.65672592759e-07,5.09116515151e-08,0.786818923659,0,0,0,0,0,0
3.0,673.64616272,15.6998531545,11.4148386125,0.0538637194891,0.00126010110906,1.76263098762,0,0,0,0,0,0
4.0,668.256401146,19.7691791419,24.7577186696,4.62599521385,0.0676636657006,2.6063106655,0.0109427620868,0,0,0.000237663114072,0,0
5.0,661.497791789,23.6080161413,39.2092631896,42.1735679618,0.528540717888,3.29664797462,6.64439714671,0,0,0.14430800053,0,0
6.0,653.465913941,27.2628091796,53.3371778899,152.710148887,1.81768222124,3.8685300999,65.7096254342,0,0,1.4271309274,0,0
7.0,644.267221043,30.763524703,66.6197367372,350.338715155,4.12089362037,4.35422504325,217.215726215,7.38048384911e-05,0,4.71765565668,1.60294883598e-06,0
8.0,634.016643468,34.1311161251,78.9164152127,623.046212916,7.36414252922,4.77722590297,457.561699212,0.0469440847874,0,9.93868772159,0.00101956684161,0
9.0,622.834931165,37.381078133,90.2352256817,949.000527752,11.3523269296,5.15399516523,762.544858367,1.54167243567,0,16.5950043554,0.0334832054535,0
10.0,610.845958251,40.5253526294,100.637599508,1307.11370638,15.8713402991,5.49612644214,1099.69722013,12.7910893709,0.000212127621077,24.1618646864,0.277811079421,4.60714677027e-06
11.0,598.174140545,43.5734414278,110.200110696,1680.71664915,20.7331946431,5.81192005033,1431.85060064,51.3968373705,0.0132616700145,32.2148563481,1.11656308854,0.000288026895627
12.0,584.942073455,46.5330988573,118.999452702,2057.83189572,25.7880866767,6.10742981797,1726.20004571,135.611796598,0.221973754945,40.4458679351,2.95013969984,0.00482099249022
13.0,571.268463561,49.4107850935,127.106992781,2430.32599552,30.9224743162,6.38714874541,1961.56823995,274.816501026,1.66187090575,48.6436686105,6.00476464038,0.0360937587342
14.0,557.266398078,52.211975144,134.587258074,2792.91158662,36.0528084825,6.65446243029,2127.8875064,466.544496997,7.39619061899,56.6690921038,10.2933993092,0.160636015006
15.0,543.041971213,54.9413766041,141.497982321,3142.3092932,41.1188952099,6.91195430258,2221.84789682,698.602771061,23.1460734654,64.4339455092,15.6754827171,0.502703783078
16.0,528.693265499,57.6030874828,147.890709859,3476.62116501,46.078214322,7.16161533993,2243.38241392,953.353703069,56.5433101929,71.8852125773,21.9337007568,1.22805001825
17.0,514.309669658,60.2007133585,153.81153767,3794.88590882,50.9014443328,7.40499117526,2194.23246035,1212.0971058,115.398422521,78.9938392431,28.8315435057,2.50630948913
18.0,499.97150253,62.7374561557,159.301829199,4096.77081475,55.5690676543,7.6432873813,2077.77376856,1458.3489838,205.969422646,85.746962824,36.1469153899,4.47339839809
19.0,485.749904788,65.2161826361,164.398843061,4382.36070092,60.0688379335,7.87744626882,1899.10816837,1679.62375156,331.902102464,92.1425814617,43.6878271421,7.20849878788
20.0,471.706956116,67.6394780824,169.136265963,4652.01387027,64.393901162,8.10820390983,1664.93899277,1867.91382639,493.968574254,98.1859071103,51.297133389,10.7283799721
21.0,457.895974549,70.0096889701,173.544657232,4906.26379272,68.5414009193,8.33613317984,1383.17516155,2019.30751807,690.398762055,103.886866925,58.8514332715,14.9945981134
22.0,444.361956155,72.3289573125,177.65181809,5145.75186421,72.5114386441,8.56167674245,1062.38870286,2133.17897082,917.517128481,109.258385681,66.2573059068,19.9273251342
23.0,431.142116433,74.5992486188,181.483099327,5371.18130545,76.3062938191,8.78517267852,711.266172063,2211.26568023,1170.45091767,114.315200403,73.4466573607,25.4207308681
24.0,418.266499091,76.8223748843,185.061659542,5583.28549671,79.9298350566,9.0068746519,338.147061702,2256.81834004,1443.76712797,119.07303944,80.3720906334,31.3568173106
25.0,405.758622758,79.0000136718,188.408684054,5782.806228,83.3870723026,9.22696795734,0,2273.90663636,1731.9737731,123.548052837,87.002715143,37.6163053846
