Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,8.31759397955,0.0378927473455,6.20941384073e-29,3.80679481304e-25,0.101080184026,0,0,0,0,0,0
2.0,676.884057737,14.6135228053,4.75853905208,2.56071262792e-05,1.97000695293e-06,1.13532998828,0,0,0,0,0,0
3.0,671.819105489,20.2706964779,20.1693287208,0.744813658763,0.0133363299601,2.34618352117,2.27310767707e-05,0,0,0,0,0
4.0,664.915132831,25.5247629428,40.2819465034,32.2824593095,0.407742851893,3.33284064341,5.60801022789,0,0,0.121798972137,0,0
5.0,656.303728359,30.4812360305,60.6647795187,203.335137384,2.33371713373,4.11678616391,108.875897181,0,0,2.36464839682,0,0
6.0,646.136176915,35.2000827382,79.742750832,585.100105612,6.59498537825,4.75692178792,427.088110789,0.0358941073981,0,9.27659948135,0.000779575145112,0
7.0,634.579284954,39.7199939204,97.1282801507,1148.22690917,13.0621497233,5.29751673188,944.408270061,4.34882739788,7.2919431464e-06,20.6058185272,0.0944512534197,0
8.0,621.810400975,44.0680233514,112.840874386,1823.96942994,21.1484704827,5.76828438358,1553.89335296,48.9239060159,0.00921263464229,34.8115875171,1.06276617069,0.000200086908637
9.0,608.012272489,48.26417683,127.022448877,2550.5688353,30.2344348693,6.18908576749,2120.05165659,200.671286823,0.503836041135,50.4250868053,4.3692721997,0.0109426890184
10.0,593.368133075,52.3238730152,139.838558419,3285.25014676,39.8249160618,6.57345649398,2551.17531352,494.429845108,6.04175571297,66.4091758027,10.8696175803,0.131219381891
11.0,578.05728401,56.2593800713,151.446019533,4001.92116029,49.5670876337,6.93084083967,2809.57781363,907.992318092,31.777371242,82.1213058617,20.4106229402,0.690164781663
12.0,562.251339708,60.0807099171,161.984118611,4686.10289292,59.2242459989,7.26797462403,2886.1256939,1383.98244093,102.573188671,97.1969339363,32.2861300804,2.22776144145
13.0,546.111226616,63.7962035385,171.573981563,5330.66773279,68.6441174263,7.5897521828,2785.24501429,1860.18647705,243.014582233,111.448911118,45.6788980062,5.27797295787
14.0,529.784958825,67.4129299328,180.320482771,5932.91564013,77.7328610956,7.89978282035,2521.00784582,2288.4868515,468.29754183,124.79788743,59.8739110425,10.1708372366
15.0,513.406161048,70.9369672609,188.314666251,6492.7211629,86.4361887242,8.20075745868,2115.11324809,2640.45435126,781.421396323,137.227975701,74.3188638929,16.9714959514
16.0,497.093271426,74.3736066233,195.635995008,7011.40125639,94.7263144536,8.49469661153,1593.92272289,2904.98263681,1175.22685196,148.759517163,88.6170498342,25.524458191
17.0,480.94933215,77.7275033237,202.354245568,7491.03650699,102.59311258,8.783122309,985.217315304,3083.17797283,1636.19414174,159.432643196,102.498863113,35.5360915159
18.0,465.062263617,81.0027914922,208.531043844,7934.06912626,110.038159667,9.06718008079,315.577853539,3183.38426397,2148.01421465,169.297450939,115.791310708,46.6521837244
19.0,449.505515599,84.2031725175,214.221094119,8343.06763672,117.070712291,9.34772736313,0,3217.38434535,2694.19021061,178.4081798,128.392009887,58.5144436368
20.0,434.338993952,87.3319843596,219.473162334,8720.59137563,123.704975589,9.62539882359,0,3197.87755325,3259.6251729,186.819797601,140.248887334,70.794984224
21.0,419.610171607,90.3922566449,224.330868483,9069.11462271,129.95823431,9.90065548249,0,3136.98800381,3831.41392609,194.586037068,151.344979415,83.2135212072
22.0,405.355305487,93.3867550111,228.8333325,9390.9862766,135.849564244,10.1738222346,0,3045.49830811,4399.09663555,201.758305848,161.687296433,95.5428800534
23.0,391.600695083,96.3180172041,233.015707944,9688.41065815,141.398938165,10.4451169129,0,2932.54953452,4954.58781779,208.385122757,171.29876437,107.607454168
24.0,378.363932287,99.1883827621,236.909629347,9963.44078742,146.626603199,10.7146730801,0,2805.61763884,5491.93364469,214.511870442,180.212441939,119.277933846
25.0,365.655104888,102.000017652,240.543592487,10217.9789317,151.552647373,10.9825580917,0,2670.63864165,6006.99708601,220.180737207,188.46740096,130.464467962
