Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,8.48068405758,0.0415682033665,1.44930139215e-28,7.49141454264e-25,0.105868949538,0,0,0,0,0,0
2.0,676.823252992,14.9000624681,5.03075636401,3.5364454293e-05,2.60078132365e-06,1.16740470779,0,0,0,0,0,0
3.0,671.660710948,20.6681611148,21.0601097278,0.909312155186,0.0159545547804,2.39771618914,8.39512880122e-05,0,0,1.82331703651e-06,0,0
4.0,664.626208358,26.0252484906,41.7973804722,37.41640468,0.467353221194,3.39569155052,7.58652966255,0,0,0.164769941108,0,0
5.0,655.8560342,31.0789073252,62.70557421,229.141180805,2.61240932895,4.18688708283,128.798658692,1.46744885583e-06,0,2.79734590033,0,0
6.0,645.506816484,35.890280439,82.2092887666,647.939316539,7.27316907354,4.83228413179,483.597112428,0.0847864009345,0,10.5049662402,0.00184145464618,0
7.0,633.751082786,40.4988173306,99.9395008903,1256.53748615,14.2581156811,5.37714396377,1044.32491588,7.16446229619,3.22784012307e-05,22.8370363343,0.155603866542,0
8.0,620.772008483,44.9321022407,115.933249778,1978.95285645,22.9120864271,5.85167739502,1684.87674957,68.3540242019,0.023651710219,38.0790082391,1.48507764872,0.000513685581319
9.0,606.758020478,49.2105332384,130.346035552,2749.35073479,32.5682822112,6.27600937506,2258.7092581,256.36435487,0.970718217118,54.6664206042,5.5889961186,0.021082786278
10.0,591.8976676,53.3498313096,143.353566319,3523.26425606,42.7047854724,6.66382172071,2676.21372593,597.263114818,9.8298375506,71.5228087036,13.1853000593,0.213491784302
11.0,576.375032855,57.3625051708,155.12029943,4274.22110046,52.9557470346,7.02464158603,2903.98732167,1054.83818809,46.4106539231,87.9967043199,23.9177482875,1.00798138989
12.0,560.365861171,61.2587630527,165.791389951,4987.97388492,63.0795228651,7.3652515626,2935.9809419,1561.57080083,139.222434875,103.728676427,36.939103088,3.02373725743
13.0,544.034491512,65.0471094902,175.492578234,5657.86476808,72.9233097987,7.6905711264,2780.10711623,2051.78502506,313.081038251,118.542115043,51.3619348126,6.79972879951
14.0,527.531611762,68.7347520883,184.332447608,6281.72182528,82.3950003255,8.0042212251,2454.75285352,2478.94586774,580.506768403,132.369531855,66.4474869411,12.6078813763
15.0,510.992799641,72.3278881876,192.405079414,6859.92707519,91.4431021927,8.30889573921,1985.96816525,2818.53048023,940.632600209,145.206433528,81.6443231533,20.4293642858
16.0,494.537773317,75.8319126355,199.792460983,7394.25438182,100.043036664,8.60661243927,1403.72256188,3063.6727868,1382.61112334,157.083413399,96.5677286734,30.0285853351
17.0,478.27025076,79.2515720163,206.566489957,7887.18336545,108.187951453,8.89888683998,738.331408376,3219.06503113,1890.06840979,168.049550471,110.96399192,41.0499232752
18.0,462.278305248,82.5910815214,212.790588154,8341.49975148,115.88258686,9.18685547972,17.8656124353,3295.68440228,2444.81094024,178.162639599,124.67638322,53.0982376084
19.0,446.635103284,85.8542151158,218.520987673,8760.06597129,123.139169424,9.4713652274,0,3307.04575866,3029.30355208,187.483502047,137.617586593,65.7926865217
20.0,431.399917764,89.0443762098,223.807757383,9145.69238185,129.974645872,9.75303924932,0,3266.86058598,3628.0493378,196.072723172,149.748824907,78.7966965554
21.0,416.619320839,92.164653834,228.695629064,9501.06775416,136.408805819,10.0323265988,0,3187.74470411,4228.17755704,203.988832176,161.064561609,91.8307313169
22.0,402.328475267,95.2178678544,233.224670439,9828.7245474,142.462998431,10.3095400846,0,3080.62366868,4819.53072882,211.287338092,171.581478321,104.674183016
23.0,388.552458307,98.2066057767,237.43084127,10131.0244727,148.159250282,10.5848855942,0,2954.56447037,5394.47086483,218.020273121,181.330611186,117.161164095
24.0,375.307567049,101.133253012,241.346459592,10410.1557553,153.519657605,10.85848508,0,2816.84605134,5947.55250382,224.236034974,190.35178112,129.173405942
25.0,362.602567602,104.000017998,245.000598141,10668.1369997,158.565968706,11.1303947688,0,2673.14808402,6475.15362094,229.97940335,198.689677655,140.632242705
