Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,6.36051304319,0.0105466692768,5.10008957816e-34,3.30249239496e-29,0.0533268143706,0,0,0,0,0,0
2.0,677.614588169,11.1750468511,2.20580145231,2.95859451541e-07,4.24285036806e-08,0.77256364735,0,0,0,0,0,0
3.0,673.725831082,15.5011208361,11.0951778261,0.0472510175398,0.00112024647624,1.73767265713,0,0,0,0,0,0
4.0,668.402455885,19.518936368,24.1632911503,4.19880536909,0.061866726614,2.57455075607,0.00670898835565,0,0,0.000145710840849,0,0
5.0,661.725539792,23.3091804939,38.3635284187,38.9911747781,0.490808572828,3.26033898231,5.53331915598,0,0,0.120176775419,0,0
6.0,653.788490388,26.9177103292,52.2753543165,142.813340499,1.70451628586,3.82888471598,58.8529770275,0,0,1.27821309482,0,0
7.0,644.695380693,30.3741129979,65.374611087,330.193719953,3.89042888449,4.31191025423,200.121437355,3.1077354314e-05,0,4.34638814251,0,0
8.0,634.558641527,33.6990766805,77.5156732532,590.532887547,6.9865500038,4.73261649967,427.72121983,0.0277376965092,0,9.29017267128,0.000602428096082,0
9.0,623.496493651,36.9078999288,88.7017554934,903.314737972,10.8107255836,5.10730193031,719.465726071,1.07947542413,0,15.6493410998,0.0234448592783,0
10.0,611.63033567,40.0123734822,98.9903536461,1248.34669477,15.1589991167,5.44746391867,1045.50424877,9.86011664815,9.75144259371e-05,22.9211990471,0.214151526343,2.11789143832e-06
11.0,599.08223439,43.0218788781,108.4549154,1609.47604166,19.8503261859,5.76134434121,1371.15842437,42.0519243544,0.00743017970744,30.6934850098,0.913476606287,0.000161374215521
12.0,585.972622209,45.9440722895,117.169648799,1974.98213557,24.7392873687,6.05496078237,1664.47498226,115.450931025,0.141587177839,38.6639161221,2.51052500473,0.00307509651868
13.0,572.418273476,48.7853321177,125.20391981,2336.83032994,29.7149248791,6.33278365122,1903.69590181,240.673703095,1.15932069983,46.6233853494,5.25231098554,0.0251789964494
14.0,558.530603797,51.5510640662,132.620617185,2689.74251244,34.6950803538,6.59818469788,2077.84010961,417.412747353,5.50290596035,54.4328054648,9.18519934541,0.119516238826
15.0,544.414312081,54.2459161407,139.476110892,3030.4009896,39.6201829178,6.85373929967,2182.95755888,635.723732789,18.0665999492,62.0030022388,14.1995087892,0.392383967646
16.0,530.16636495,56.8739344767,145.820793029,3356.84643462,44.4478516018,7.10143433,2218.57626689,879.705555381,45.7823559547,69.2794794142,20.1004405743,0.994335543392
17.0,515.875307051,59.4386790122,151.699774853,3668.04695372,49.1486047379,7.34281406489,2186.02537409,1131.60523158,96.154839061,76.2315155386,26.6654140343,2.08836291086
18.0,501.620869041,61.9433111411,157.153568184,3963.59757621,53.7025839477,7.57908465819,2088.12064644,1375.11868856,175.593233254,82.8445603765,33.679524552,3.81366553473
19.0,487.473837226,64.3906613369,162.218690419,4243.51316085,58.0970977498,7.81119037698,1929.26504538,1597.37202908,288.249580655,89.1149901207,40.9533443365,6.26042057986
20.0,473.496144631,66.7832821573,166.928179785,4508.08627957,62.3247916851,8.03987022181,1715.41245075,1789.64673619,435.591288307,95.0465008022,48.3293883446,9.46049829292
21.0,459.741142099,69.1234903755,171.312026359,4757.78969734,66.3822851114,8.26570067348,1453.7683498,1947.20749138,616.579711919,100.647625287,55.6822533216,13.3913406182
22.0,446.254009175,71.4134008908,175.397530757,4993.20931686,70.2691517887,8.4891284561,1152.31554636,2068.63597765,828.200913116,105.930018076,62.9156762212,17.9874885817
23.0,433.072267385,73.6549543325,179.209603266,5214.9979438,73.98715309,8.7104959974,819.2976003,2154.98833873,1066.11782015,110.907265551,69.9583993882,23.1547464063
24.0,420.226362519,75.8499397592,182.771015037,5423.84333274,77.5396573389,8.93006146404,462.759925564,2208.97663527,1325.28987804,115.594057508,76.7598508359,28.7836395387
25.0,407.740287108,78.0000134987,186.102611027,5620.44608366,80.9311971048,9.14801470776,90.199452577,2234.27532044,1600.48166366,120.005608742,83.2861282484,34.7604611327
