Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,5.54506265303,0.00548327859652,1.27838017428e-36,2.76384768421e-31,0.038451043731,0,0,0,0,0,0
2.0,677.919452541,9.74234853684,1.48835400972,3.02059481022e-08,5.95738653412e-09,0.634463300556,0,0,0,0,0,0
3.0,674.523578028,13.513797652,8.1700387689,0.0115259612351,0.00031549858968,1.49023899836,0,0,0,0,0,0
4.0,669.866614443,17.0165086285,18.5952168224,1.47859381385,0.0235754904656,2.25605087925,4.30349064324e-06,0,0,0,0,0
5.0,664.011917024,20.3208240203,30.3260648502,16.7457706207,0.221011082938,2.89376011227,0.480649591573,0,0,0.010439108317,0,0
6.0,657.032389195,23.4667218255,42.082901226,69.387641578,0.852827588248,3.42690353888,15.0897323134,0,0,0.327730123681,0,0
7.0,649.009520207,26.4799959469,53.333243976,174.451597009,2.09278861973,3.88164576531,76.0908388818,0,0,1.65259790697,0,0
8.0,640.031872111,29.3786822343,63.8897121407,331.476798825,3.96246497353,4.27816074247,197.077403781,1.57398669429e-05,0,4.28027520521,0,0
9.0,630.193318798,32.1761178866,73.7128432596,530.821119001,6.38395957569,4.63102491499,371.37326585,0.0075796104128,0,8.06592773734,0.000164619663653,0
10.0,619.591198613,34.8825820101,82.8239196668,760.394839965,9.24164958233,4.95071246131,585.246631933,0.281554909858,0,12.7169403081,0.00611502073519,0
11.0,608.324487723,37.5062533809,91.2670863872,1009.14956298,12.418754452,5.24483556491,823.400039323,2.82963381216,2.29161044131e-06,17.944675813,0.0614561591287,0
12.0,596.49207182,40.0538066114,99.0929920597,1268.21789875,15.8129573994,5.51901489677,1068.97304492,13.6262599404,0.000283012466917,23.5127159459,0.295951479758,6.14667701585e-06
13.0,584.191172603,42.530802359,106.351892339,1530.94639706,19.3405873883,5.77746800317,1304.40783206,41.982923554,0.00833131709215,29.2422861151,0.911997566732,0.000180945793095
14.0,571.515967835,44.9419532885,113.090950376,1792.54293625,22.935757241,6.0234065329,1514.52193485,96.9685503755,0.0986455543819,35.0038438922,2.1081781616,0.00214245813423
15.0,558.556428314,47.2913115073,119.353393991,2049.65880074,26.5477585877,6.25930757315,1688.83485913,184.130241236,0.636556813525,40.7061112101,4.01290389515,0.0138252182937
16.0,545.397381693,49.5824044155,125.178472125,2300.02064974,30.1381854913,6.48710208154,1821.64991164,304.12452751,2.69669273717,46.2863011911,6.66377337724,0.0585687953855
17.0,532.117801773,51.8183355491,130.601729076,2542.13970717,33.6783496814,6.70830812611,1910.68067566,452.961760547,8.44994535705,51.7024036628,10.0212854876,0.183522250724
18.0,518.790312848,54.0018609948,135.655378996,2775.09319317,37.1471427413,6.92412682011,1955.53058277,623.18440323,21.201510383,56.9274067095,13.9952565613,0.460470303631
19.0,505.480891905,56.135448345,140.36868565,2998.36404155,40.5293360116,7.13551261599,1956.7415763,805.43833357,44.9836598551,61.9450726425,18.4701026697,0.976988862478
20.0,492.248746868,58.2213229064,144.768309619,3211.72470429,43.8142538115,7.34322567443,1915.45925316,990.018901149,83.8798056089,66.74688272,23.3237375374,1.82176452807
21.0,479.146346414,60.26150443,148.878611346,3415.15326681,46.9947461475,7.54787149216,1833.4491463,1168.10067957,141.350761222,71.3298339712,28.4396484797,3.06996184529
22.0,466.219575878,62.2578366741,152.721910018,3608.77288182,50.0663945746,7.74993132683,1713.19329751,1332.51808694,219.75952517,75.6948485055,33.7135293879,4.77290218728
23.0,453.507994137,64.2120114694,156.318702891,3792.8079252,53.0268969897,7.94978587226,1557.91366476,1478.1057361,320.16286486,79.8456208047,39.056146177,6.95353722117
24.0,441.045167692,66.125588508,159.687850993,3967.55213194,55.8755890022,8.14773391084,1371.48202172,1601.69316741,442.339675153,83.7877782783,44.3938382994,9.60706481972
25.0,428.859060276,68.0000117681,162.846737055,4133.34533627,58.6130695646,8.34400717606,1158.24135716,1701.87637617,584.980366263,87.5282666804,49.6676698748,12.7050423298
