Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,6.60514816023,0.0126257359475,2.64862292378e-33,1.23100170132e-28,0.0583467040253,0,0,0,0,0,0
2.0,677.523183587,11.6048563453,2.45785334695,5.54191535503e-07,7.28067319757e-08,0.815564542329,0,0,0,0,0,0
3.0,673.486883909,16.0973177913,12.0691442042,0.0696521098665,0.00158735658975,1.81265895217,0,0,0,0,0,0
4.0,667.964488095,20.2696646898,25.9669399529,5.59481333386,0.0806666208847,2.66978404285,0.0266606832444,0,0,0.000579036714215,0,0
5.0,661.042778963,24.205687436,40.9231752084,49.1936860516,0.611229418924,3.36908766755,9.36029872295,0,0,0.203293987889,0,0
6.0,652.821743979,27.9530068804,55.4833613338,174.169867805,2.06206960214,3.94753972862,81.0706656578,0,0,1.76075351978,0,0
7.0,643.412661779,31.5423481132,69.1315017937,393.513610174,4.61359864662,4.43849390002,254.347108209,0.000358607551059,0,5.52410904493,7.78850774957e-06,0
8.0,632.935520167,34.9951950144,81.7377630908,692.144115697,8.16546237476,4.86602205365,521.356706951,0.123508669495,0,11.325898433,0.00268245391833,0
9.0,621.516175024,38.3274345414,93.3200287359,1045.4751732,12.4952506977,5.24691039207,853.374475768,2.97862953026,2.50820953746e-06,18.5989191147,0.0646921645854,0
10.0,609.283484678,41.5513109238,103.947762899,1430.59215432,17.3678915963,5.5929418458,1212.0163004,20.7353369829,0.000886594061008,26.7738631358,0.450364855813,1.92557147625e-05
11.0,596.366579601,44.6765665272,113.703892433,1829.80027858,22.5813014614,5.91253126805,1555.2570085,74.6995568669,0.0386211048644,35.4022967584,1.62321980283,0.000838802121273
12.0,582.892380481,47.711151993,122.670147467,2230.63193898,27.9769366685,6.21180319437,1849.2960955,183.181246357,0.50986515663,44.1650145363,3.98954132819,0.0110736338706
13.0,568.983440744,50.6616910453,130.921943526,2624.78304295,33.4362194425,6.49529441743,2074.56212492,352.20919456,3.23928660041,52.8471461066,7.7198967002,0.0703532558527
14.0,554.756157917,53.5337972996,138.527117642,3006.97284656,38.8729892221,6.76641711461,2222.82936693,574.458242519,12.8076335738,61.3099218512,12.7546807464,0.27816579168
15.0,540.319370987,56.3322975307,145.546155777,3374.02016292,44.2259796354,7.02776990552,2291.96913428,833.141778112,36.6982526293,69.4675829772,18.8918381677,0.797040174292
16.0,525.773338489,59.061393495,152.032925342,3724.167612,49.4525549896,7.28135121031,2282.75356748,1107.42980587,83.7966219337,77.2704609053,25.871948979,1.81995788262
17.0,511.20907459,61.7247820512,158.035508679,4056.60957968,54.5238607162,7.52870872603,2197.91979105,1377.20279998,162.209070524,84.6931502747,33.4341015624,3.52297825044
18.0,496.70800801,64.325746185,163.596982583,4371.16956077,59.4211899277,7.77104630684,2042.17881415,1626.10057767,277.547583754,91.7264162104,41.344858506,6.02798658466
19.0,482.341920784,66.8672252345,168.756095017,4668.0817045,64.1332990467,8.00930187217,1822.20018243,1842.79104313,432.176707534,98.3717039136,49.4094558347,9.38633786676
20.0,468.173120165,69.3518699326,173.547833851,4947.843366,68.654432448,8.24420522425,1546.27129946,2020.92088147,625.32294695,104.637420688,57.4731081485,13.5812327541
21.0,454.254796522,71.7820861592,178.003898788,5211.11555768,72.9828663303,8.47632167315,1223.71045551,2158.32684419,853.704552208,110.536414089,65.4175568904,18.5413957433
22.0,440.631522229,74.1600701559,182.153092167,5458.65562648,77.1198300217,8.70608545794,864.210528023,2255.97282916,1112.35162287,116.084255907,73.1557966924,24.1588868092
23.0,427.339850411,76.4878371915,186.021644013,5691.27164734,81.0687016092,8.93382570846,477.252897751,2316.90462461,1395.3948043,121.298070501,80.6265032216,30.3062309059
24.0,414.408977397,78.7672451346,189.633484675,5909.79151447,84.8344038355,9.15978686776,71.6625926265,2345.36682007,1696.71079869,126.195732875,87.7888732824,36.8504376591
25.0,401.861438192,81.0000140179,193.010475933,6115.04204013,88.4229472668,9.38414494003,0,2346.12831464,2010.39089736,130.79531968,94.6181516356,43.6631773021
