Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,8.5622290966,0.0435085699421,2.20072877229e-28,1.04580926273e-24,0.108311702242,0,0,0,0,0,0
2.0,676.792854814,15.0433322995,5.17057552228,4.14630174053e-05,2.98231731357e-06,1.18354287046,0,0,0,0,0,0
3.0,671.581542392,20.8668934332,21.5134111052,1.00327806433,0.0174280302933,2.42352606872,0.000152781900351,0,0,3.31823189824e-06,0,0
4.0,664.481842821,26.2754912646,42.5648966253,40.2390408478,0.49985917324,3.42709912102,8.75867204216,0,0,0.190227408416,0,0
5.0,655.632422868,31.3777429726,63.7361230957,243.037913305,2.76175019237,4.22187181825,139.715599559,3.48520580687e-06,0,3.03444825362,0,0
6.0,645.192610777,36.2353792894,83.4522743183,681.343914395,7.63258606688,4.86986395892,513.808748254,0.126624964194,0,11.1620338871,0.00275013594419,0
7.0,633.337821064,40.8882290357,101.354005893,1313.60932358,14.8871256056,5.4168296822,1096.71713219,9.0587807341,6.45997766837e-05,24.0160734149,0.196746797095,1.40302639985e-06
8.0,620.2541638,45.3641416853,117.487325384,2060.09835804,23.8344795062,5.89322601824,1752.03253484,80.0574105545,0.0367811348685,39.792301182,1.73954572575,0.000798840272926
9.0,606.132919601,49.6837114426,132.014630909,2852.92515865,33.7836999965,6.31930810409,2328.27281496,287.938345872,1.3210840288,56.8782207368,6.28235324315,0.0286922937505
10.0,591.165300508,53.8628104568,145.116765782,3646.80903532,44.1994787621,6.70882960169,2737.37614846,653.305278293,12.364510755,74.1784456732,14.4575157309,0.26854171796
11.0,575.537777255,57.9140677205,156.962042473,4415.12778897,54.7096530122,7.07135818791,2948.09399241,1132.56562509,55.5077884114,91.0379456266,25.8034694495,1.20555977956
12.0,559.428148702,61.8477896205,167.698572269,5143.78513308,65.0703506722,7.41369915094,2956.01663393,1653.43715531,160.899043537,107.100626689,39.4051143188,3.49452610183
13.0,543.002441718,65.6725624661,177.454417171,5826.38578515,75.128731871,7.740784001,2771.04028733,2149.06334338,353.087931875,122.19575777,54.3435980094,7.66862852041
14.0,526.412657298,69.3956631661,186.340024688,6461.04260499,84.7937515059,8.05623907944,2413.90928433,2574.14370267,642.945855518,136.26223641,69.8711638419,13.9639802995
15.0,509.795322216,73.023348651,194.451001246,7048.40659522,94.0154769979,8.36275939698,1912.9249277,2906.34308915,1027.5251319,149.301600158,85.4387004259,22.3165614584
16.0,493.270765339,76.5610656416,201.870600312,7590.49123717,102.771064518,8.66236106379,1299.83219077,3140.98157696,1494.12117155,161.349812407,100.668637819,32.4504441945
17.0,476.94301299,80.0136063626,208.671782139,8089.98384977,111.055404595,8.95655609589,606.129948471,3284.51357627,2024.994312,172.460604481,115.315874448,43.9803452138
18.0,460.900186517,83.3852265361,214.918866998,8549.84793348,118.874905035,9.24647633442,0,3349.1616427,2601.09682151,182.695751148,129.23217602,56.4925715922
19.0,445.215284679,86.679736415,220.668850139,8973.09731753,126.243346553,9.53296319635,0,3349.22831831,3204.46124884,192.119461151,142.337945287,69.5968927482
20.0,429.947240814,89.9005721349,225.97245013,9362.67115742,133.179102649,9.81663395799,0,3298.86173093,3819.46389293,200.795199894,154.601134643,82.9539814247
21.0,415.142157113,93.0508524286,230.874952081,9721.36790341,139.703260696,10.0979315753,0,3210.86851769,4433.30729,208.783947399,166.021943323,96.2858927047
22.0,400.834633396,96.1334242761,235.416894443,10051.8135891,145.838343224,10.3771627227,0,3096.20525371,5036.02511328,216.143302005,176.621878283,109.376170429
23.0,387.049123654,99.150900063,239.634636469,10356.4499318,151.607433334,10.6545272445,0,2963.87395818,5620.22980186,222.92708069,186.436003538,122.064366009
24.0,373.801268955,102.105688137,243.560834033,10637.5337025,157.03357565,10.9301412356,0,2821.03696833,6180.74656745,229.185208756,195.507486168,134.238089512
25.0,361.099169182,105.000018171,247.224844263,10897.1423347,162.139367693,11.2040553226,0,2673.23496401,6714.21998465,234.963775537,203.883787166,145.824465292
