Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,5.381972575,0.00475586733817,3.47326763355e-37,9.76152988732e-32,0.0358098781069,0,0,0,0,0,0
2.0,677.980459117,9.45580887399,1.3662270173,1.83845088356e-08,3.88626282733e-09,0.607848402264,0,0,0,0,0,0
3.0,674.683359764,13.1163330151,7.64349951339,0.00847888174633,0.000239466734889,1.44124745979,0,0,0,0,0,0
4.0,670.160236237,16.5160230806,17.5643193638,1.1781625421,0.0191108756006,2.1921424292,0,0,0,0,0,0
5.0,664.471142208,19.7231527256,28.8121299275,13.9322051682,0.185783372012,2.81962954935,0.242873973649,0,0,0.00527491911519,0,0
6.0,657.685150564,22.7765241247,40.1402448151,59.2997026079,0.733513507331,3.34521028594,10.629067799,0,0,0.230850066259,0,0
7.0,649.879509138,25.7011725367,51.0180231853,151.8315342,1.82859015261,3.79391699287,60.0829750408,0,0,1.30492711417,0,0
8.0,641.138264901,28.514603345,61.2518147847,292.321601979,3.50229016468,4.18529490488,164.089049566,1.77532618226e-06,0,3.56380908383,0,0
9.0,631.550645111,31.2297614782,70.7948334326,472.806159393,5.69230215038,4.53355745246,318.548935536,0.00183135391696,0,6.91852446839,3.9774717884e-05,0
10.0,621.209347389,33.8566237157,79.6618448999,682.59667881,8.29765680956,4.8489602311,511.721251442,0.103418120141,0,11.1161920421,0.00224611229836,0
11.0,610.208838859,36.4031282814,87.8915900207,911.615252351,11.213044987,5.1389790448,730.421618732,1.33829871552,0,15.8929107169,0.0290661801445,0
12.0,598.643736881,38.8757534757,95.5303083309,1151.59697571,14.3443606897,5.40914721498,960.539119464,7.59103074002,4.84975522067e-05,21.0265788063,0.164868752191,1.05330621199e-06
13.0,586.607324605,41.2798964073,102.624645326,1396.2284596,17.6134973078,5.66362548184,1186.88949895,26.1619855873,0.00207552898082,26.3460520856,0.568250702369,4.50778950521e-05
14.0,574.190238549,43.620131133,109.218774351,1640.88561583,20.9581757002,5.90558847034,1395.18322125,65.4858946461,0.0320464543497,31.7252993787,1.42296778328,0.000696008930407
15.0,561.479351488,45.9003905806,115.353412655,1882.28040479,24.3299119178,6.13748949892,1574.43779007,132.068046158,0.251337049315,37.0740910836,2.87381160404,0.00545872653981
16.0,548.556861674,48.1240984033,121.065671864,2118.13563415,27.6915677164,6.36124489772,1717.87299731,228.632044853,1.23404400361,42.329260171,4.99240411736,0.0268018932033
17.0,535.499589033,50.2942668565,126.389254123,2346.92142328,31.0150690755,6.5783645623,1822.23186541,353.736460306,4.3351721183,47.447621113,7.77686826671,0.0941545194443
18.0,522.378470559,52.4135709655,131.354769199,2567.6536137,34.2794792263,6.79004607515,1886.4891309,502.386191402,11.9064966256,52.4005743534,11.1697943181,0.258594223588
19.0,509.258240637,54.4844057466,135.990071853,2779.74389136,37.4694439087,6.99724373824,1910.77969189,667.176488797,27.1683525629,57.1701111139,15.0803020233,0.590062657226
20.0,496.197277544,56.5089310562,140.320577347,2982.88987546,40.5739647111,7.20072003959,1895.84691603,839.608494064,53.7604789206,61.7458929911,19.402857382,1.16761040156
21.0,483.247594547,58.4891072408,144.369540403,3176.99496169,43.585440969,7.40108461936,1842.91351648,1011.29039006,95.1570775336,66.1231266506,24.0306559368,2.06669277768
22.0,470.45495281,60.4267238307,148.158295424,3362.10990836,46.4989237083,7.59882419854,1753.74748944,1174.83886297,154.147492397,70.3010165425,28.8639224057,3.34789085051
23.0,457.859073286,62.3234228968,151.706461001,3538.39017777,49.3115340588,7.79432587514,1630.73884748,1324.41381536,232.504470892,74.2816348506,33.8143190296,5.04970647719
24.0,445.493925772,64.1807182578,155.032113585,3706.06466781,52.0220082667,7.98789548228,1476.89741602,1455.91559436,330.867561741,78.0690922823,38.8066966717,7.18602985656
25.0,433.388074948,66.000011422,158.151935399,3865.41269035,54.6303400092,8.17977221937,1295.75851385,1566.92703729,448.805169325,81.6689263563,43.7791838625,9.74748727127
