Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,8.39913901857,0.0396968696294,9.50600717332e-29,5.34903282907e-25,0.103458483296,0,0,0,0,0,0
2.0,676.853653966,14.7567926367,4.89341767695,3.01165085019e-05,2.26505566993e-06,1.1513336224,0,0,0,0,0,0
3.0,671.739898645,20.4694287964,20.6120856281,0.823362579093,0.0145931746402,2.37193525361,4.45260402153e-05,0,0,0,0,0
4.0,664.770638348,25.7750057167,41.0363938735,34.76725284,0.436676656787,3.36427209526,6.53949129964,0,0,0.142029576664,0,0
5.0,656.079802645,30.7800716779,61.681784522,215.915703127,2.46981271611,4.15185869259,118.527583064,0,0,2.5742709575,0,0
6.0,645.821338379,35.5451815886,80.9727689136,615.871788966,6.92743375493,4.79463700882,454.702677979,0.0557180070522,0,9.87678391283,0.0012101254659,0
7.0,634.164903722,40.1094056255,98.5309114641,1201.42639467,13.6499560875,5.33737333527,993.555073316,5.61092273375,1.56099136475e-05,21.7006371548,0.121862567151,0
8.0,621.290753463,44.5000627961,114.38441745,1900.26026387,22.01693303,5.81003061008,1618.81048281,58.0120676908,0.0149146331595,36.4191376231,1.26027352235,0.000323927188933
9.0,607.384470055,48.7373550342,128.681959136,2648.58179003,31.3853813695,6.23260241474,2189.27363538,227.308633666,0.704126948087,52.5157316702,4.95215214459,0.0152927571538
10.0,592.631942755,52.8368521624,141.59414828,3402.75992965,41.2467817332,6.61869788453,2614.11056033,544.31320901,7.74368004609,68.9333823424,11.9899855592,0.168183051001
11.0,577.214864664,56.810942621,153.281610127,4136.49939444,51.2417336985,6.97780304193,2857.76962773,979.958477046,38.5411829633,85.0247899105,22.1205394908,0.837066317483
12.0,561.306919153,60.6697364849,163.886558024,4835.42544394,61.1309849728,7.31667732367,2912.63412522,1471.70985043,119.832880853,100.427711483,34.566318695,2.60262038102
13.0,545.070744985,64.4216565144,173.532420221,5492.63623739,70.7619225613,7.64022781538,2784.79673421,1955.44394034,276.442353312,114.960066872,48.4737804402,6.003982361
14.0,528.65570104,68.0738410105,182.325922284,6105.68893772,80.0415079717,7.95206978667,2490.41839761,2383.68362251,522.334001578,128.548286443,63.1150702732,11.3444415968
15.0,512.196397672,71.6324277243,190.3596247,6674.70676825,88.9167976247,8.25489575589,2053.3444341,2729.86922804,858.627853727,141.182069121,77.9376709947,18.6483236981
16.0,495.811922819,75.1027596294,197.714251267,7201.23142354,97.3615657892,8.55072496218,1501.74656877,2984.98800016,1276.32885338,152.886800988,92.5504754128,27.7202672843
17.0,479.605666447,78.48953767,204.460638345,7687.54027673,105.367288305,8.84107625885,864.699005884,3151.94670604,1760.47202564,163.707027669,106.691594329,38.2352518069
18.0,463.665634913,81.7969365068,210.661309595,8136.24528281,112.937095164,9.12709074774,169.559846538,3240.42840184,2293.77770476,173.69665132,120.196038878,49.8179845253
19.0,448.065145134,85.0286938166,216.371733426,8550.06042819,120.081704907,9.40962063803,0,3263.10776923,2859.20101812,182.913169889,132.968893975,62.0982721123
20.0,432.863794269,88.1881802847,221.641327802,8931.66945373,126.816674808,9.68929489362,0,3233.21360507,3441.42028834,191.414335989,144.964704872,74.7433468873
21.0,418.10861148,91.2784552395,226.514269439,9283.65306365,133.160526919,9.96656858978,0,3163.13467547,4027.52835449,199.256262841,156.172212682,87.472881449
22.0,403.835311992,94.3023114328,231.030153199,9608.45132928,139.133461454,10.2417606091,0,3063.73903941,4607.20270709,206.492395707,166.603266057,100.062683795
23.0,390.069588329,97.2623114904,235.224536928,9908.34682075,144.75646816,10.5150828358,0,2944.14048206,5172.57225553,213.173000547,176.284854769,112.341803675
24.0,376.828387946,100.160817887,239.129398198,10185.4598382,150.050710713,10.7866630454,0,2811.72285079,5717.93148679,219.344960671,185.253430144,124.186324479
25.0,364.121139673,103.000017825,242.773522617,10441.7505898,155.037100864,11.0565630411,0,2672.29788053,6239.39755881,225.05175528,193.550885323,135.51191573
