Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.90986878448,0.0298187154763,6.92210887708e-30,6.60020845998e-26,0.0896669592495,0,0,0,0,0,0
2.0,677.036118552,13.8971736481,4.12033021611,1.11028897274e-05,9.59849322584e-07,1.05633708216,0,0,0,0,0,0
3.0,672.215427146,19.2770348859,18.0341919331,0.444330549779,0.00838536486352,2.21787231265,0,0,0,0,0,0
4.0,665.638574092,24.273549073,36.6081409597,22.0315309064,0.28640984144,3.1754993627,2.37787015992,0,0,0.0516443675357,0,0
5.0,657.425721508,28.9870577937,55.6824358109,149.238382014,1.74269147299,3.94074379057,69.0322937121,0,0,1.49929512908,0,0
6.0,647.715135179,33.4745884864,73.6914812201,449.29768397,5.11876442598,4.56729489599,306.917038145,0.00281896260418,0,6.66591564655,6.12243440595e-05,0
7.0,636.659633549,37.7729353948,90.2060255031,909.236842688,10.4115134575,5.0969051272,722.763730896,1.01696416456,0,15.7196119747,0.0220871923846,0
8.0,624.422255252,41.9078261283,105.204156228,1476.79146616,17.1877143569,5.55801475285,1248.42416858,18.7280422557,0.00058051328864,27.5209872952,0.406762275763,1.26080229877e-05
9.0,611.171724151,45.8982858089,118.795096245,2100.13915916,24.939623902,5.96980387227,1780.08256968,99.9772842831,0.0748318486853,40.8358004617,2.17300689724,0.00162525421363
10.0,597.078063133,49.7589772792,131.119725376,2741.02944203,33.2385565937,6.34542756699,2227.65010354,289.427997457,1.48181474488,54.732156334,6.31819748375,0.0321831639903
11.0,582.30859479,53.5015673227,142.316180315,3374.7381068,41.7660957985,6.69411197303,2543.59523324,593.494397202,10.7168194812,68.5991772573,13.1227123623,0.232755923106
12.0,567.024486105,57.135577078,152.509343606,3986.58952767,50.3004016403,7.02246773211,2711.37051751,981.508856211,42.8959111927,82.0680150405,22.2487910421,0.931645571216
13.0,551.377926895,60.6689386592,161.808983168,4568.58863119,58.6929788238,7.33531991523,2728.85302949,1405.37759033,118.368149944,94.9319377875,33.0938527967,2.5708082566
14.0,535.509974877,64.1083745439,170.310822298,5116.94891507,66.8478055933,7.63624359221,2601.78889954,1818.44033201,255.199352416,107.087075493,45.0368618962,5.54261093529
15.0,519.54905415,67.4596649442,178.098393696,5630.45061142,74.7054069338,7.92791810364,2342.388882,2185.94986702,463.724150677,118.492875,57.5476075719,10.0715088975
16.0,503.610059186,70.7278415928,185.24490226,6109.3975452,82.231460666,8.21236735295,1968.14460162,2487.63535875,745.275363589,129.14686962,70.2147797509,16.186449303
17.0,487.793992909,73.9173315921,191.814851443,6554.96838549,89.4088652659,8.49112675823,1499.83303293,2715.71946672,1093.81013212,139.068908466,82.7382209747,23.7561888069
18.0,472.188054211,77.032066419,197.865388522,6968.8176553,96.2322705033,8.76536189318,959.291911623,2871.35435922,1498.57941866,148.291392193,94.9094992384,32.547271749
19.0,456.866085532,80.0755660215,203.447394199,7352.83214316,102.704307701,9.03595457237,367.564091158,2961.15011237,1946.65314981,156.853257803,106.5913521,42.2788730974
20.0,441.889293185,83.0510047341,208.606360747,7708.98332039,108.832979483,9.30356651806,0,2994.45003086,2424.82133464,164.796289252,117.699799969,52.6640883616
21.0,427.307159901,85.9612636721,213.383102537,8039.23895746,114.629839488,9.56868727071,0,2981.45124256,2920.81283427,172.162870203,128.189797919,63.4364037444
22.0,413.158478779,88.8089729027,217.814336251,8345.51126255,120.108712833,9.83167081125,0,2932.03962868,3423.95158064,178.99463301,138.044184078,74.3639483921
23.0,399.472449082,91.5965457725,221.933160482,8629.62757999,125.284789891,10.0927639494,0,2855.15127486,3925.41186674,185.331666614,147.265355732,85.2550389808
24.0,386.269785792,94.3262071365,225.769457567,8893.31503299,130.17398059,10.3521286044,0,2758.48883841,4418.21722075,191.212074172,155.869084722,95.9581552631
25.0,373.563805855,97.0000167868,229.350234891,9138.19377483,134.792452749,10.6098594834,0,2648.45967569,4897.09272568,196.671750052,163.879966217,106.358732636
