Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,8.23604894054,0.0361540461183,4.03906554214e-29,2.70015268608e-25,0.0987339315209,0,0,0,0,0,0
2.0,676.914464304,14.4702529738,4.62610004737,2.17381308451e-05,1.71103511678e-06,1.11939418509,0,0,0,0,0,0
3.0,671.898331487,20.0719641595,19.7318288198,0.67309166187,0.0121769041333,2.32046125562,1.11358133389e-05,0,0,0,0,0
4.0,665.059691849,25.2745201688,39.5340480962,29.9532956432,0.380468491581,3.30139708095,4.78294412554,0,0,0.103879567726,0,0
5.0,656.527811501,30.1824003831,59.6545849539,191.373930655,2.20388587264,4.08166900304,99.8178652834,0,0,2.16791926341,0,0
6.0,646.451332548,34.8549838879,78.5192710391,555.583923617,6.27543687673,4.71913764968,400.716110474,0.0226395297849,0,8.70354472664,0.000491702287529,0
7.0,634.994227564,39.3305822153,95.7316500673,1096.89065271,12.4942065928,5.25757306519,896.881063748,3.33372582671,3.28341749681e-06,19.5515401037,0.0724044291106,0
8.0,622.330953261,43.6359839068,111.302667255,1750.02977749,20.3061557115,5.72643740672,1490.18227585,40.9844444517,0.00556738042965,33.2552690396,0.890251819478,0.000120916543706
9.0,608.641431953,47.7909986258,125.367552742,2455.26277163,29.114884348,6.14545794417,2051.128072,176.347805453,0.355362899315,48.3934277895,3.83777193765,0.00771803796949
10.0,594.106245696,51.810893868,138.08684429,3170.68923814,38.4386398155,6.52809591247,2487.51399915,447.577399987,4.66618817063,63.9492038737,9.8221654303,0.101343774331
11.0,578.902302284,55.7078175216,149.613573445,3870.44501373,47.9312851344,6.88375322263,2759.54598254,838.996347312,26.0032792956,79.285358671,18.7867106404,0.564758722202
12.0,563.199140007,59.4916833492,160.084114678,4539.96935898,57.358815676,7.21914161004,2856.60520996,1298.51280816,87.2881174285,94.0355470568,30.0978638526,1.8957888004
13.0,547.155961067,63.1707505626,169.617301521,5171.92678158,66.5694416749,7.53914229762,2781.59145323,1766.1610708,212.637592203,108.007945543,42.977033462,4.61822270567
14.0,530.919419096,66.752018855,178.316163932,5763.37358047,75.4686458348,7.8473583345,2546.62905345,2193.49156614,418.261327422,121.117721116,56.724008157,9.08411320494
15.0,514.622134936,70.2415067976,186.270233989,6313.94567476,84.0009000373,8.14647880964,2171.34056789,2550.38865605,708.916580299,133.343620539,70.788035602,15.3967819784
16.0,498.381877326,73.6444536172,193.557716776,6824.74268909,92.1369440872,8.4385253154,1680.27512444,2823.71967592,1079.25099391,144.701102118,84.7676442354,23.439982524
17.0,482.301320792,76.9654689774,200.247330558,7297.6538896,99.8651204352,8.72502289486,1099.87490534,3012.7844381,1517.21858129,155.22600224,98.3860030776,32.9520910625
18.0,466.468280563,80.2086464776,206.399804023,7734.95579143,107.185508748,9.00712136829,455.881570588,3124.54708653,2007.53418699,164.964701144,111.462390159,43.6011331237
19.0,450.956321465,83.3776512183,212.06907699,8139.07446079,114.105949524,9.28568328409,0,3169.84819531,2534.30602054,173.968245044,123.887099375,55.0419588835
20.0,435.825642216,86.4757884345,217.303262351,8512.44707267,120.639333047,9.561348918,0,3160.81037361,3082.71219125,182.288865544,135.601505706,66.9526554037
21.0,421.124145979,89.5060580504,222.145421803,8857.44315359,126.801737078,9.83458515709,0,3109.25422225,3639.88939541,189.977950986,146.582962946,79.0538478066
22.0,406.888620301,92.4711985894,226.634198349,9176.32167231,132.611137626,10.1057228452,0,3025.84748614,4195.26976001,197.084898159,156.83364019,91.1160151003
23.0,393.145963047,95.3737229178,230.804338946,9471.20961831,138.086510485,10.3749857148,0,2919.73763634,4740.57354553,203.656498401,166.372383481,102.959331692
24.0,379.914404328,98.2159476369,234.687132558,9744.0934006,143.247202395,10.6425130787,0,2798.4787912,5269.61151718,209.736647944,175.228836385,114.449375139
25.0,367.204686881,101.000017479,238.310782463,9996.81782292,148.112490674,10.9083778193,0,2668.12257937,5777.9999884,215.366254282,183.439224519,125.490937248
