Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.01287335531,0.0167987066095,3.6183244614e-32,9.93485128565e-28,0.0673016790881,0,0,0,0,0,0
2.0,677.370898706,12.3212055025,2.91826407862,1.50053476661e-06,1.71537056591e-07,0.88877424409,0,0,0,0,0,0
3.0,673.089024392,17.0909793834,13.7929150967,0.128936814299,0.00275985184915,1.9383589783,0,0,0,0,0,0
4.0,667.235849336,21.5208785596,29.1082655389,8.82290341576,0.122905247667,2.82820516591,0.163710422185,0,0,0.00355558573184,0,0
5.0,659.908057872,25.6998656728,45.3373186882,71.1365716716,0.865813411716,3.54918496736,19.7070195366,0,0,0.42801183056,0,0
6.0,651.217030741,29.6785011322,60.9779860393,238.650695108,2.78957991728,4.14348810647,130.232416672,0,0,2.82848531102,0,0
7.0,641.286477117,33.4894066387,75.5336165057,519.82215459,6.04682670725,4.64714829739,365.840119717,0.00912225317642,0,7.94578822405,0.000198123936176,0
8.0,630.249357785,37.1553922375,88.9039013911,890.430847896,10.4574746403,5.08565197743,706.193586717,0.919430417886,0,15.3576108438,0.0199688808299,0
9.0,618.244557082,40.6933255625,101.13296517,1318.31727423,15.7225819985,5.47657012221,1107.21221973,11.8735776777,0.000161222839802,24.3051516657,0.257882766746,3.50155855196e-06
10.0,605.413571487,44.1162066599,112.31126522,1775.83687126,21.5510457747,5.83214102459,1512.52257732,57.7726488134,0.0173027676923,34.1056010316,1.2551255109,0.000375794485818
11.0,591.897397825,47.4343792758,122.538172629,2242.81287147,27.7046337041,6.16105261473,1870.66919861,166.151666998,0.360669292843,44.2528697472,3.61643980381,0.00783328620394
12.0,577.833748333,50.656284832,131.908377329,2705.71892545,34.003373253,6.46959613357,2149.59453046,349.479928677,2.92667762266,54.4039009687,7.65383098057,0.0635637796172
13.0,563.354674713,53.7889559246,140.507670079,3156.00134481,40.3170742304,6.76240999905,2335.24681851,600.59237289,13.2588182574,64.3386873562,13.3320805577,0.287964959028
14.0,548.584644656,56.8383526884,148.412346224,3588.55497991,46.554186586,7.04296653818,2423.58166705,897.975638788,41.0448155027,73.9229569095,20.3943504916,0.891442086699
15.0,533.63908165,59.8095998475,155.689908134,4000.57756594,52.6518827272,7.31389717451,2415.22002551,1214.15432415,97.9448959501,83.0799555745,28.4971549366,2.12724070892
16.0,518.623352594,62.7071585255,162.400132107,4390.77168315,58.5682637279,7.57721461282,2313.81075934,1522.94782826,194.328568092,91.770747751,37.2970967334,4.22057358825
17.0,503.632168084,65.5349537827,168.596138263,4758.80798136,64.2765502652,7.83446804951,2125.90030796,1803.8156324,336.861519976,99.9809403535,46.4928319031,7.31621113697
18.0,488.749346969,68.2964712581,174.325339374,5104.96997013,69.7608524212,8.08685391392,1860.73616642,2043.35207944,527.65368801,107.711873663,55.8390315119,11.4599785365
19.0,474.047889317,70.9948317304,179.630241126,5429.92058823,75.01311535,8.33529646194,1529.60873249,2234.8564792,764.669483651,114.974809512,65.1459545057,16.607665348
20.0,459.590299354,73.6328495581,184.549103169,5734.54915388,80.0309150155,8.58050751528,1144.91496951,2376.96759171,1042.79051798,121.787100001,74.2728714447,22.6481065623
21.0,445.429101209,76.213079132,189.11648186,6019.87105516,84.8158609852,8.82303149597,719.218200721,2472.06579538,1355.02639374,128.169658268,83.1196584824,29.429479489
22.0,431.607494357,78.7378522643,193.363676926,6286.96203245,89.3724316188,9.06327990252,264.48217443,2524.82744313,1693.58198911,134.145285908,91.6185798563,36.7824838259
23.0,418.160101469,81.209308623,197.319101822,6536.91521558,93.7071182332,9.30155807416,0,2541.08457765,2050.66517643,139.737566283,99.7270649715,44.5378843007
24.0,405.113768212,83.6294207602,201.008594034,6770.81320121,97.8277915795,9.53808623112,0,2527.00962655,2419.02530571,144.970133974,107.421696185,52.5382058584
25.0,392.488381621,86.0000148832,204.455678227,6989.71013004,101.743229753,9.77301620186,0,2488.58232679,2792.26306101,149.866196055,114.693360766,60.6444633564
