Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,6.93132831629,0.0158876325507,2.17163090435e-32,6.60806901505e-28,0.0654511934988,0,0,0,0,0,0
2.0,677.401350075,12.177935671,2.82205068981,1.2353183853e-06,1.45105581584e-07,0.87398063388,0,0,0,0,0,0
3.0,673.168557749,16.892247065,13.4380525939,0.11432911474,0.00247732129672,1.9131485372,0,0,0,0,0,0
4.0,667.381446527,21.2706357856,28.4665284129,8.07207626055,0.113204225347,2.79655021598,0.118488318652,0,0,0.00257341817072,0,0
5.0,660.134681483,25.4010300254,44.439835472,66.1937559186,0.808906181117,3.51327689407,17.1704180307,0,0,0.372920016604,0,0
6.0,651.537322516,29.3334022819,59.8644907555,224.416604218,2.62975468366,4.10447325425,119.068465004,0,0,2.5860182282,0,0
7.0,641.710551347,33.0999949336,74.2394029886,492.323972257,5.73573101884,4.6056409559,341.27615608,0.00512411094743,0,7.41220280415,0.00011128928464,0
8.0,630.78469744,36.7233527929,87.4580435997,847.696829099,9.96435714538,5.04198718792,666.226533914,0.640963422061,0,14.4835284587,0.0139209247952,0
9.0,618.896010474,40.2201473583,99.559114067,1259.96639318,15.0329401353,5.43092872637,1053.4704936,9.24411521812,7.65247773642e-05,23.0808362342,0.200772289416,1.66202250838e-06
10.0,606.183440335,43.6032275127,110.628771702,1702.44849851,20.6619714049,5.78461479955,1450.47989002,47.9371755635,0.0101428085638,32.5441862213,1.04135582089,0.000220289123495
11.0,592.785602909,46.8828167261,120.763036384,2155.44976199,26.6205247954,6.11168020472,1807.22167129,143.544712476,0.24101442955,42.3786764616,3.12284625622,0.00523453214179
12.0,578.838056028,50.0672582642,130.05396535,2605.63397493,32.7328422805,6.41838396546,2090.84107254,310.442215828,2.13300436914,52.2455237966,6.78874306367,0.0463261886422
13.0,564.470966636,53.1635029487,138.585246226,3044.47545988,38.8709270622,6.70934505151,2286.10401134,544.600150198,10.2654130706,61.9252598886,12.0509864522,0.222951940126
14.0,549.807212992,56.1774416106,146.431462518,3466.81472038,44.9441641388,6.988024463,2388.19466116,827.462384688,33.2026091619,71.2822897999,18.6925678352,0.721119167735
15.0,534.960934188,59.1141393841,153.658698478,3869.75781943,50.8899011974,7.25704763948,2397.15907863,1133.48467732,81.8772220172,80.2377109057,26.3961412512,1.77827091569
16.0,520.036513794,61.9780055194,160.325537674,4251.90257005,56.665968435,7.51842491061,2315.93403906,1437.1876956,166.608343427,88.7501625923,34.8324452225,3.6185249588
17.0,505.127965135,64.7729194364,166.484084743,4612.81421473,62.2450633108,7.77370558063,2150.13917516,1717.74728425,294.611098474,96.8028286303,43.7059086247,6.39858479499
18.0,490.318672648,67.5023262435,172.180879785,4952.67621728,67.6106391661,8.02408791173,1907.99385481,1960.8934184,468.888964659,104.394759867,52.7718361321,10.1836822012
19.0,475.681436135,70.1693104312,177.45767352,5272.05938563,72.7539234353,8.27049919044,1599.8138378,2158.84316935,688.3864179,111.535116902,61.8382675981,14.9508925138
20.0,461.278761913,72.776653633,182.352069559,5571.76958454,77.6717574903,8.51365508973,1237.18642026,2309.18060842,948.873546634,118.239353586,70.7608636802,20.608347341
21.0,447.163345745,75.3268805374,186.898052712,5852.74729794,82.3650260478,8.75410442695,832.079556807,2413.38912196,1244.06699908,124.52668314,79.4353751288,27.0195801363
22.0,433.378696053,77.8222958426,191.126424248,6116.00137342,86.8375081507,8.99226343302,396.076245205,2475.45229251,1566.67353556,130.41839213,87.7899203285,34.0261908505
23.0,419.959851372,80.2650143367,195.065162971,6362.5653635,91.0950303928,9.22844235949,0,2500.7101523,1909.21322143,135.93671714,95.7780232731,41.4657246529
24.0,406.934152381,82.656985635,198.739727799,6593.4688765,95.1448382277,9.46286639797,0,2495.01595556,2264.59143849,141.104097125,103.37272309,49.1840953047
25.0,394.32203564,85.0000147101,202.173314329,6809.71895734,98.9951260355,9.69569231386,0,2464.16695462,2626.44681009,145.942678423,110.561767702,57.0431416566
