Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.09441839432,0.0177505794943,5.99329550143e-32,1.48662310696e-27,0.0691821802873,0,0,0,0,0,0
2.0,677.340450139,12.4644753339,3.01658525821,1.81859388176e-06,2.02390891311e-07,0.903642668419,0,0,0,0,0,0
3.0,673.009510295,17.2897117018,14.15285638,0.145208563806,0.00307076232747,1.96360388346,0,0,0,0,0,0
4.0,667.090317342,21.7711213335,29.7567166112,9.6336333211,0.133310566492,2.85984581411,0.222414048551,0,0,0.00483055511696,0,0
5.0,659.68159424,25.9987013201,46.2420659027,76.3846479027,0.925994026119,3.58503882935,22.5091990963,0,0,0.488871667874,0,0
6.0,650.897063462,30.0235999826,62.0986736115,253.606507696,2.95709364395,4.18241803956,142.115426007,1.45311794458e-06,0,3.08656944015,0,0
7.0,640.862981974,33.8788183438,76.8346128689,548.509721535,6.37088599244,4.68854721443,391.604753771,0.0157523725059,0,8.5055078678,0.000342121840366,0
8.0,629.714959789,37.5874316821,90.3559499385,934.784234348,10.9688321426,5.1291902246,747.701136853,1.29572954756,0,16.2672757004,0.0281416302562,0
9.0,617.594529824,41.1665037667,102.712317811,1378.64337742,16.4352733971,5.52207089052,1162.37407636,15.0770364565,0.000326967153329,25.5727805592,0.327461486857,7.10131786137e-06
10.0,604.645743969,44.6291858071,113.998523325,1851.47726705,22.4673322117,5.87951558553,1575.36594962,69.0679763856,0.0287513703667,35.7162982181,1.50069455595,0.000624443825152
11.0,591.011983132,47.9859418255,124.317319044,2332.63412677,28.819446546,6.21026464747,1934.08839797,191.16106452,0.529486094353,46.1807613157,4.16327914615,0.0114997761117
12.0,576.833111316,51.2453113998,133.766047307,2808.40956495,35.30747683,6.52064098536,2207.46717901,391.540841073,3.95762137166,56.6191146145,8.58973223122,0.0859545891658
13.0,562.243056905,54.4144089005,142.43261556,3270.23366779,41.7991128366,6.81530203685,2382.63245908,659.69991543,16.9304741956,66.8110737318,14.6955662747,0.367708736436
14.0,547.367864216,57.4992637662,150.395040683,3713.06575747,48.2019471961,7.09773111238,2456.28636666,971.172432981,50.2743388904,76.6239124003,22.1845470766,1.09189579778
15.0,532.324224517,60.5050603108,157.722250241,4134.20348831,54.4530499438,7.37056533787,2429.66613997,1296.70856188,116.282130742,85.98320561,30.6883916054,2.52550252706
16.0,517.218468688,63.4363115317,164.475218429,4532.46076756,60.5108578662,7.63581955809,2307.21937537,1609.63348017,225.230224111,94.8525858161,39.8509460773,4.89171892992
17.0,502.145983599,66.296988129,170.708084542,4907.61882031,66.3491710599,7.89504266286,2096.50100882,1889.86884354,383.107343816,103.220195478,49.3662015691,8.3206126235
18.0,487.191000902,69.0906162727,176.46913649,5260.06526375,71.952804459,8.14942907944,1807.83407923,2124.98992536,591.04992488,111.089752462,58.9889904974,12.836865556
19.0,472.426699637,71.8203530296,181.801636391,5590.55836376,77.3144618796,8.39989988839,1453.49275891,2309.43327607,846.011838594,118.474689061,68.5323235841,18.3743196195
20.0,457.915561716,74.4890454832,186.744500547,5900.07341355,82.4324886224,8.64716293661,1046.66412115,2442.90144057,1141.99270378,125.394310114,77.8594196976,24.8026540353
21.0,443.709921093,77.0992777266,191.332856753,6189.70269993,87.3092485526,8.89175814585,600.471348974,2528.65303382,1471.32319995,131.871271686,86.8744838271,31.9553007489
22.0,429.852651838,79.6534086859,195.598502495,6460.59043684,91.9499442762,9.13409219371,127.218094278,2572.0252056,1825.74351582,137.929924388,95.5140394183,39.6528669841
23.0,416.377946654,82.1536029094,199.570284685,6713.89058503,96.3617529134,9.37446543353,0,2579.30665468,2197.1872205,143.595225227,103.739476352,47.7201599453
24.0,403.312144563,84.6018558853,203.274417797,6950.7397226,100.553188306,9.61309305412,0,2556.95591131,2578.28155265,148.892025621,111.53093867,55.9970524716
25.0,390.674573901,87.0000150562,206.734753682,7172.23987001,104.533627244,9.85012189933,0,2511.10708928,2962.61719407,153.844610044,118.882449279,64.3443421837
