Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.33905351137,0.0208643914213,2.63230644351e-31,4.84725377938e-27,0.0750051074667,0,0,0,0,0,0
2.0,677.249121254,12.8942848282,3.32440550749,3.19565167676e-06,3.28725958486e-07,0.948691926437,0,0,0,0,0,0
3.0,672.771083495,17.885908657,15.2632728992,0.205752553747,0.00419944163795,2.03954179507,0,0,0,0,0,0
4.0,666.654112126,22.5218496554,31.7422451382,12.4663810842,0.169183549869,2.95468353918,0.51027192632,0,0,0.0110824683998,0,0
5.0,659.003161619,26.8952082622,48.9995841295,94.1131962508,1.12767270889,3.69228215362,32.6782155857,0,0,0.709729994752,0,0
6.0,649.93910391,31.0588965337,65.5034408288,303.08398479,3.50854386342,4.29871008591,182.358960124,2.20573933227e-05,0,3.96060914425,0,0
7.0,639.595959794,35.0470534591,80.7777570173,642.079893774,7.42468530284,4.81210917915,476.448364948,0.0688970580813,0,10.3493592842,0.00149635798065,0
8.0,628.117392176,38.883550016,94.7486425548,1077.97838017,12.6168857187,5.25906480019,881.58916192,3.297217643,3.29726848243e-06,19.2186261994,0.0716115172964,0
9.0,615.652960424,42.5860383794,107.482759914,1571.90217969,18.7165541998,5.65775128479,1335.91500655,29.0150396838,0.00222166289704,29.6446709451,0.630218644873,4.8251741045e-05
10.0,602.354432432,46.1681232487,119.08825425,2092.32814742,25.3844867433,6.02075343888,1767.79874338,112.973035501,0.114472243705,40.8529844608,2.45611930884,0.00248619404297
11.0,588.372356837,49.6406294747,129.678199731,2617.23938803,32.3530664596,6.3569645477,2123.12964927,281.677542545,1.51043754442,52.2950158281,6.15048894257,0.032804815418
12.0,573.853033822,53.0123911033,139.358011044,3132.47649574,39.4259982382,6.67279928836,2374.64005945,536.23898527,9.04402112187,63.61350392,11.8428652951,0.196424833741
13.0,558.93597046,56.2907678281,148.222024613,3629.49569273,46.4650963067,6.97296963417,2512.8833811,855.167863314,33.131052395,74.588993053,19.2927420756,0.719565044204
14.0,543.751861735,59.4819969995,156.353478135,4103.51293309,53.3758790276,7.26098982361,2536.76184042,1205.50926139,87.8810728676,85.0947845953,28.0908213222,1.90866705134
15.0,528.42110101,62.5914417008,163.825615585,4552.17653774,60.0955684608,7.5395124318,2449.75136789,1553.84847614,186.736593496,95.0645548926,37.8033319812,4.05568539
16.0,513.052794317,65.62377055,170.703034373,4974.67453605,66.5840124173,7.81055734063,2259.26333087,1873.31470592,338.787614632,104.470516247,48.0440972744,7.35804350529
17.0,497.744231601,68.583091168,177.042952017,5371.15127608,72.8170965471,8.07567135236,1976.32567968,2146.21203701,547.285984428,113.309100983,58.4994101532,11.8863674743
18.0,482.580754443,71.4730513166,182.896295405,5742.33121975,78.7820457434,8.33604189465,1614.69078336,2363.63889292,810.068363849,121.591692211,68.9289544829,17.5936722773
19.0,467.63595299,74.2969169272,188.308603506,6089.27779893,84.4740898291,8.59257967488,1189.56017169,2523.66265381,1120.96900378,129.338649343,79.1568438134,24.3460455509
20.0,452.972123589,77.0576332585,193.320765123,6413.23928344,89.8940932715,8.84597989387,716.317798909,2629.15104074,1471.44885278,136.575460904,89.0599039374,31.9580297714
21.0,438.640921603,79.7578735102,197.969620708,6715.55049774,95.0468609817,9.09676836102,209.522968917,2685.83675274,1852.00974302,143.330267167,98.5563535797,40.2233366061
22.0,424.684149761,82.400077951,202.28845588,6997.57040913,99.939918492,9.34533677806,0,2700.82574234,2253.23657638,149.632266541,107.596040985,48.9374818932
23.0,411.134630062,84.9864857683,206.307409958,7260.64282883,104.582626794,9.5919701161,0,2681.56071398,2666.46714364,155.510694725,116.152480033,57.9123332759
24.0,398.01711564,87.5191612606,210.053818175,7506.0720701,108.985535291,9.83686812569,0,2635.16673211,3084.15666511,160.994177309,124.216555033,66.9840275703
25.0,385.349207487,90.0000155754,213.552502023,7735.10833209,113.159905958,10.0801624264,0,2568.08407946,3500.02022619,166.110327469,131.791640388,76.0160642876
