Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,4.89270234091,0.00301918649146,5.41933338046e-39,3.51925222947e-33,0.0285320480472,0,0,0,0,0,0
2.0,678.163546303,8.59618988544,1.03942836266,3.7666411183e-09,9.93568607451e-10,0.530117930856,0,0,0,0,0,0
3.0,675.16317063,11.9239391047,6.1786729329,0.00318125324632,9.92870541601e-05,1.29534563044,0,0,0,0,0,0
4.0,671.042687873,15.0145664369,14.6389130485,0.570469224829,0.00977566110037,1.99996214102,0,0,0,0,0,0
5.0,665.852741008,17.9301388415,24.4632528187,7.74344023982,0.106715200492,2.59543668633,0.016056845137,0,0,0.00034873460532,0,0
6.0,659.651467813,20.7059310225,34.5128122006,35.9067428086,0.453317561219,3.09724343275,2.88102564313,0,0,0.0625722756868,0,0
7.0,652.503968228,23.3647023061,44.2694945727,97.4442642945,1.1883804599,3.52698113245,25.9210475656,0,0,0.562972751816,0,0
8.0,644.481298076,25.9223666773,53.5251779502,195.665454552,2.36120282697,3.90226117938,87.1437748119,0,0,1.8926538592,0,0
9.0,635.659238109,28.3906922529,62.2136900392,326.696975863,3.9466474319,4.23616855609,189.408657728,6.31101232383e-06,0,4.11371942209,0,0
10.0,626.116964304,30.7787488325,70.3318205928,483.551052139,5.88153504555,4.5382731066,326.395257999,0.00199594376596,0,7.08894035907,4.3349403667e-05,0
11.0,615.935700195,33.0937529831,77.9030967937,658.872261594,8.09166175233,4.81561884986,489.291128839,0.0723329618272,0,10.628362686,0.00157098151518,0
12.0,605.197409585,35.3415940689,84.9611976818,846.188914273,10.5061277285,5.0734597111,669.326288083,0.794838805767,0,14.5541932266,0.0172629063026,0
13.0,593.983573256,37.5271785521,91.5424069352,1040.27600481,13.0631963304,5.31577241898,857.651331781,4.2921343204,8.84063755359e-06,18.7203350384,0.0932199842789,0
14.0,582.374081619,39.6546646663,97.6822736931,1237.11278166,15.7116843388,5.54560961273,1044.84122957,14.7813694186,0.000396468954131,23.0136955434,0.321041477871,8.61081009752e-06
15.0,570.446265077,41.7276278006,103.414247524,1433.69774511,18.4103456249,5.76534433752,1221.51120031,37.7342433925,0.00678141834084,27.3495315483,0.81968788261,0.00014728392959
16.0,558.274074956,43.7491803667,108.769235419,1627.84032323,21.1265313237,5.97684152513,1379.6147116,78.253004044,0.0599023476964,31.6656664575,1.70085843569,0.00130100411403
17.0,545.927419955,45.7220607786,113.775578059,1817.97479239,23.8347253549,6.18158014928,1513.36599672,139.716086687,0.331131810552,35.9172600371,3.04165052674,0.00719176901043
18.0,533.471656504,47.6487008778,118.459203632,2003.00873779,26.5152017983,6.38074167383,1619.34633158,223.12123988,1.30000790392,40.072561661,4.8741489753,0.0282345466632
19.0,520.96722605,49.5312779514,122.843843738,2182.20503559,29.1528829417,6.57527513728,1696.00145434,327.043414166,3.95091231261,44.1096234914,7.1887830282,0.0858088767895
20.0,508.469428247,51.3717555056,126.951257792,2355.09200856,31.7364032602,6.76594579602,1742.95556006,448.00536988,9.873524302,48.0138139091,9.94455723301,0.214440605934
21.0,496.028316197,53.1719156735,130.801442745,2521.39578307,34.2573563588,6.95337202064,1760.46267873,581.08887683,21.1886624373,51.775955372,13.080715306,0.46019126231
22.0,483.688698163,54.9333853006,134.412819746,2680.98958087,36.7096943002,7.1380536737,1749.11171076,720.64083984,40.3107013292,55.3909342974,16.5269162848,0.875498044494
23.0,471.490229459,56.6576571789,137.802396381,2833.85571496,39.0892497723,7.32039422086,1709.74679692,860.946748077,69.6267494735,58.8566623607,20.2108931499,1.51220596513
24.0,459.46757823,58.3461075071,140.985906214,2980.0570424,41.393355645,7.50071816848,1643.50322302,996.776513728,111.187850443,62.1732977862,24.0636010344,2.41486112682
25.0,447.650649529,60.0000103836,143.977928482,3119.7154407,43.6205411605,7.67928496994,1551.86679299,1123.75403784,166.48101064,65.3426588192,28.0222924591,3.61575944983
