Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.66523366743,0.0256709343127,1.75663884891e-30,2.20746037188e-26,0.0831972199603,0,0,0,0,0,0
2.0,677.127388624,13.4673641539,3.76561216936,6.58535326839e-06,6.12371232617e-07,1.00977598367,0,0,0,0,0,0
3.0,672.453450328,18.6808379307,16.8156480903,0.321713766102,0.00627418263765,2.1412536935,0,0,0,0,0,0
4.0,666.073415406,23.5228207512,34.4829610999,17.3509365839,0.229666286911,3.08094296875,1.30213835387,0,0,0.0282808173731,0,0
5.0,658.100814766,28.0905508516,52.7761372961,122.999579874,1.45190025726,3.83455542426,51.0179008484,0,0,1.10804503405,0,0
6.0,648.666339095,32.4392919352,70.1411501053,380.916577396,4.36885570075,4.45264625583,247.839474976,0.000438236344079,0,5.38277311507,9.51794559796e-06,0
7.0,637.914635995,36.6047002795,86.1270243585,785.801844386,9.03509336749,4.97543287435,608.464176125,0.358151361395,0,13.2228599253,0.00777859995766,0
8.0,626.000342842,40.6117077945,100.688694675,1294.15689177,15.0976802547,5.43057108668,1082.0389689,9.49617204346,7.86504568788e-05,23.7067822588,0.206246694758,1.70818961034e-06
9.0,613.083899099,44.4787511963,113.916671748,1859.87135956,22.1111119023,5.83681759863,1583.95044538,61.4294111057,0.0190832846416,35.7364226882,1.33458448754,0.00041446508831
10.0,599.327465242,48.2200398375,125.937538381,2447.54620811,29.6857284264,6.20708857861,2030.02704591,199.507826069,0.545578190495,48.4464090533,4.34490987376,0.0118492763248
11.0,584.891170914,51.8468796736,136.878528218,3033.52124782,37.5246529155,6.55047153554,2368.4331639,441.778098047,4.97472406143,61.2503654218,9.70291285516,0.108044788209
12.0,569.929841614,55.3684973745,146.856076203,3603.23941515,45.416421105,6.8734961648,2577.99413936,772.634744016,23.2666751612,73.7821172632,17.2859839477,0.505323101157
13.0,554.590292547,58.7925797316,155.973266139,4148.3813765,53.2163104994,7.18094143364,2653.44950424,1155.00996107,71.6554135129,85.8275110368,26.6416386043,1.55626601223
14.0,539.009226752,62.1256413106,164.320420897,4664.66161513,60.8283508913,7.47635823592,2597.09982022,1546.69578544,167.441986476,97.2713220979,37.2289297337,3.63663064377
15.0,523.31173233,65.3732835542,171.97662876,5150.31977841,68.191117542,7.76241599197,2416.73006418,1911.99050347,323.368937441,108.060738049,48.5492128573,7.02316911005
16.0,507.610341143,68.5403825744,179.011381455,5605.1390155,75.26733556,8.04113817185,2125.03446006,2226.69628348,544.860100321,118.181512694,60.1947402107,11.8336803038
17.0,492.004588724,71.6312285532,185.486044039,6029.82230927,82.0365174394,8.31406615767,1738.45463236,2478.2170697,830.202352385,127.642753211,71.8547343235,18.0309573409
18.0,476.581001545,74.6496313752,191.455088884,6425.60083402,88.4898140359,8.58237580689,1275.46451376,2663.24427282,1172.33917697,136.467314458,83.3040780502,25.4617414999
19.0,461.413432093,77.5990021239,196.967104005,6793.98954738,94.6264213373,8.84696209373,754.850919104,2784.82738807,1561.05604174,144.685760047,94.3871557411,33.9041859064
20.0,446.563662629,80.4824169588,202.065610065,7136.6353985,100.451064088,9.1085017439,194.361518915,2849.7531458,1984.87963466,152.332574505,105.002180701,43.1091045652
21.0,432.082203574,83.3026678885,206.789723476,7455.22365977,105.972221987,9.36750039034,0,2866.55440415,2432.45453833,159.443794543,115.087850469,52.8298720043
22.0,418.009220449,86.0623036377,211.174698717,7751.42077019,111.200869526,9.62432863323,0,2844.15717065,2893.40388515,166.055537116,124.612654181,62.8411156307
23.0,404.375532901,88.7636629136,215.252376806,8026.84017172,116.149573703,9.8792500044,0,2791.05061735,3358.77750189,172.203096632,133.566579465,72.9484488691
24.0,391.203639516,91.4089017611,219.051560997,8283.02266674,120.831843576,10.1324429257,0,2714.83955314,3821.20891883,177.920405188,141.95480275,82.9918812057
25.0,378.508732009,94.0000162677,222.598335724,8521.42596667,125.261659096,10.3840181422,0,2622.05484739,4274.88667901,183.239725473,149.792948777,92.8451950598
