Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,6.68669319925,0.0133863426481,4.52505572205e-33,1.88815239275e-28,0.0600784812661,0,0,0,0,0,0
2.0,677.492721003,11.7481261768,2.54584652009,6.79636830488e-07,8.67790765201e-08,0.830053768191,0,0,0,0,0,0
3.0,673.407273446,16.2960501097,12.4038150331,0.0790172660887,0.00177780116156,1.83772774638,0,0,0,0,0,0
4.0,667.818629699,20.5199074638,26.581710782,6.14203755321,0.0879341833346,2.70149788801,0.0400150062013,0,0,0.000869075915935,0,0
5.0,660.815513814,24.5045230833,41.7912850924,53.0548795035,0.656422598887,3.4052200438,10.9933437732,0,0,0.238761685074,0,0
6.0,652.500149516,28.2981057307,56.5676212882,185.779138776,2.19375975363,3.98690680276,89.6232188955,0,0,1.94650428549,0,0
7.0,642.986259871,31.9317598183,70.398019375,416.608298704,4.87651654056,4.48045177561,274.447270849,0.000738966274746,0,5.96066771317,1.60494237796e-05,0
8.0,632.396390099,35.427234459,83.1582335197,728.804422004,8.59001799751,4.91021342933,555.372378178,0.192758256064,0,12.066180307,0.004186468385,0
9.0,620.858972227,38.8006127457,94.8712187188,1096.34409716,13.0974918369,5.29313769931,901.116258195,4.03941128343,6.33388317338e-06,19.6588499716,0.0877311013761,0
10.0,608.505372589,42.0642900711,105.610535017,1495.38330141,18.1530611867,5.64110061697,1270.01419265,25.953574506,0.00171293317372,28.1468743485,0.563716399071,3.72027673667e-05
11.0,595.467086547,45.2281290769,115.462334822,1907.71967589,23.5475031504,5.96257314984,1617.76270141,88.9300160645,0.0632654902914,37.0699805523,1.93282283377,0.00137404736727
12.0,581.873196297,48.3001785608,124.510898827,2320.65354508,29.117928694,6.26371431118,1910.43484275,210.82807483,0.749212297949,46.1037229003,4.59519420481,0.0162719545961
13.0,567.848169176,51.2871440211,132.833689022,2725.80982575,34.7433172317,6.54908210583,2129.43917275,395.566888391,4.414564735,55.0317330461,8.68709718508,0.0958788278383
14.0,553.510040807,54.1947083773,140.500213522,3117.92418511,40.3362937756,6.82210145247,2267.4489296,633.163645385,16.5306333812,63.7157287504,14.110547617,0.359024693748
15.0,538.9689992,57.0277579941,147.572346395,3493.87564558,45.8351472149,7.08537811521,2322.88725881,904.544414245,45.4821240548,72.0714114129,20.6333888787,0.987814881815
16.0,524.3263627,59.7905465011,154.105125569,3851.98622459,51.1972688148,7.34091385889,2296.9872173,1187.47033049,100.671592259,80.0509846548,27.9768323847,2.18646114437
17.0,509.673926765,62.4868163975,160.147632729,4191.5355041,56.3941130568,7.59025709339,2193.0869079,1461.37082265,190.176075158,87.6310271001,35.8695341868,4.13038663233
18.0,495.093641934,65.1198911996,165.743806123,4512.43098538,61.4074445892,7.83461054053,2016.67357309,1710.18613714,319.113928193,94.8042455873,44.0738607939,6.93075562794
19.0,480.657577551,67.6927465336,170.933141589,4814.98621704,66.2265786075,8.0749096894,1775.27483511,1923.33184261,489.088859385,101.573911111,52.3947621214,10.6223986648
20.0,466.428122265,70.2080658577,175.751279432,5099.77188084,70.8463581788,8.31188100542,1477.99788001,2095.37643121,698.495246366,107.950110586,60.6794004974,15.170443632
21.0,452.458372225,72.6682847538,180.230490256,5367.51581834,75.2656683904,8.54608584268,1134.85351523,2225.06240312,943.287336934,113.94721755,68.8125959168,20.487021849
22.0,438.79266033,75.0756265775,184.400076696,5619.03581718,79.4863390713,8.7779540802,756.056722863,2314.13705623,1217.87416541,119.582180199,76.7108687199,26.45070453
23.0,425.467184182,77.4321314778,188.286707324,5855.19436926,83.512328945,9.00781024748,351.435433948,2366.26463511,1515.9323342,124.873359142,84.3164654273,32.9241553835
24.0,412.510695676,79.7396802597,191.914696618,6076.86823202,87.3491146268,9.23589407328,0,2386.14095871,1831.04359249,129.839736966,91.5919769714,39.7679780245
25.0,399.945220971,82.0000141909,195.306242309,6284.92802348,91.0032298739,9.46237683176,0,2378.838028,2157.13918003,134.500381126,98.5157549869,46.8503665662
